Title,Keywords
"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates","Agricultural robots; Numerical methods; Trees (mathematics); Coordinate ascent; Decentralized routing; Intelligence , surveillance , and reconnaissances; Limited communication; Monte-Carlo tree searches; Multiple autonomous vehicles; Myopic algorithm; Optimal solutions; Autonomous vehicles"
In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,Armor; Ballistics; Deformation; Energy dissipation; Failure (mechanical); High speed cameras; Backing materials; Ballistic fabric; Fabric deformations; Face deformations; Optical interrogation; Spectral profile; Strain behaviors; Strain response; Fiber Bragg gratings
An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,Degrees of freedom (mechanics); Extraction; Functions; Linear systems; Quality control; Strain; Thin walled structures; Coarse meshes; Control meshes; Geometrically nonlinear; Interpolatory; Mixed approach; Orthogonality properties; Shear and membrane locking; Variational principles; Locks (fasteners)
Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,Physical layer; Vehicle to infrastructure; Vehicles; Finite block length; Physical layer security; Reliable communication; Urban environments; Vehicle to infrastructure (V2I); Vehicle to vehicle network (V2V); Network security
High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,Bridge decks; Computer architecture; Concrete bridges; Concretes; Data handling; Acoustic excitation; Data processing architecture; Detection and repairs; Inspection methods; Internal cracking; Long-term maintenances; Orders of magnitude; Sounding techniques; Repair
"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",
"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",Aluminum; Energy efficiency; Heat losses; Hinges; Meteorology; Radiative Cooling; Thermal conductivity; Expansion and contraction; Experimental demonstrations; Experimental prototype; Operating temperature; Radiative heat loss; Spacecraft components; Spacecraft radiators; Vacuum environment; Radiators
Quantum Materials for Energy-Efficient Computing,
A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,Activation energy; Carbon dioxide; Carbon dioxide process; Carbon footprint; Carbon monoxide; Catalysts; Coal; Global warming; Iron research; Methane; Oxalic acid; Reaction kinetics; Synthesis gas; Synthesis gas manufacture; Carbon and hydrogens; Carbon dioxide emissions; Carbon footprint reductions; Char gasification; Multifunctional agents; Process efficiency; Syngas production; Two-stage process; Coal combustion
"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",High pass filters; Particle detectors; Biquad filter; Design process; Front-end amplifier; Particle detection; Power efficiency; Pulse signal; State of the art; Transfer characteristics; Pulse shaping
"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",Data integration; Data Science; Information use; Paper; Publishing; Search engines; Websites; Academic journal; Empirical studies; High volumes; Latest development; Learning models; Research papers; Scientific journals; Scientific papers; Deep learning
Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,Crystal lattices; Nickel; Boundary planes; Coincidence site lattices; Disorientation angle; Face-centered cubic; Grain-boundary energy; Low angle boundaries; Misorientations; Grain boundaries
A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),Bandwidth; Signal to noise ratio; Analog to digital converters; Coarse quantization; Data converter; High resolution; Multi stage noise shaping; Over sampling ratio; Power efficient; Wide bandwidth; Analog to digital conversion
Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,Antennas; Degrees of freedom (mechanics); MIMO systems; Unmanned aerial vehicles (UAV); Ambiguity resolution; Attitude estimation; Cooperative navigations; Multiple-input multiple-output channels; Potential methods; Radio frequencies; Two degrees of freedom; Vector estimates; Air navigation
Relative multiplicative extended Kalman filter for observable GPS-denied navigation,Agricultural robots; Global positioning system; Vehicles; Direct measurement; Global measurements; GPS-denied navigations; Inertial measurement unit; Laser scan matching; Multiplicative extended kalman filters; System robustness; Useful properties; Extended Kalman filters
Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,
Estimating correlations with censored data,Safety engineering; Censored data; Censored observations; Keypoints; Quality control
"Social impact in product design, an exploration of current industry practices",Ecodesign; Engineers; Laws and legislation; Life cycle; Product design; Academic research; Current practices; Design engineers; Engineering professionals; Government regulation; Industry practices; Social impact assessments; State of the art; Economic and social effects
An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,Aircraft detection; Clutter (information theory); Geometrical optics; Matrix algebra; Video recording; Embedded hardware; Epipolar geometry; Inertial measurement unit; Multi-target tracking; Pose estimation algorithm; Real time performance; Relative rotation; State-of-the-art algorithms; Iterative methods
Tracking joint angles during whole-arm movements using electromagnetic sensors,Calibration; Clinical research; Degrees of freedom (mechanics); Joints (anatomy); Calibration method; Clinical application; Co-ordinate system; Electromagnetic sensors; Experimental methods; In-vivo measurement; International Society of Biomechanics; Motion tracking system; Motion tracking; anatomic landmark; arm movement; Article; body position; comparative study; elbow; electromagnetism; forearm; in vivo study; kinematics; methodology; rotation; shoulder; wrist
Case study: Noise reduction of a vacuum-assisted toilet,Acoustic noise measurement; Noise abatement; Control performance; Intermediate results; Noise levels; Noise range; Radiated noise; Radiated sound; Tube inserts; Valve opening; Acoustic variables control
Developable mechanisms on right conical surfaces,Mechanical engineering; Mechanisms; Conical geometry; Conical surfaces; Multiloop; Position analysis; Spherical mechanisms; Spheres
State-Dependent LQR Control for a Tilt-Rotor UAV,Aerodynamics; Antennas; Controllers; Fixed wings; Flight simulators; Linear control systems; Unmanned aerial vehicles (UAV); Aerodynamic modeling; Angular rate; Control schemes; Flight modes; LQR controller; State-dependent; Trajectory tracking; Vertical take-off and landings; Aircraft control
"Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs",Aerospace applications; Convolution; Failure analysis; Field programmable gate arrays (FPGA); Integrated circuit design; Low power electronics; Military applications; Military vehicles; Multilayer neural networks; Network layers; Random errors; Static random access storage; Binary quantization; Configuration memory; Design flexibility; Low-power consumption; Misclassifications; Reliability impacts; Resource utilizations; Static random access memory; Convolutional neural networks
Flexible hybrid state estimation for power systems with communication irregularities,Computer software; Data acquisition; Drops; Observability; Packet loss; State estimation; Communication delays; Discrete Kalman filters; Hybrid state estimation; Network simulator 2; Packet-drop probability; Realistic communication; Supervisory control and data acquisition; System observability; Phasor measurement units
Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,Separation; Aliased; CME analysis; confounding; effect heredity; Effect sparsity; Hierarchical order; Factor analysis
On the effects of channel sparsity on joint estimators in aeronautical telemetry,Bit error rate; Equalizers; Errors; Frequency allocation; Maximum likelihood; Mean square error; Telemetering equipment; Aeronautical telemetry; Carrier frequency offsets; Discrete-time channels; Filter coefficients; Frequency selectivity; Minimum mean squared error equalizers; Reliable estimates; Viable solutions; Parameter estimation
Relative navigation of fixed-wing aircraft in GPS-denied environments,Air navigation; Aircraft; Flight simulators; Global positioning system; Kalman filters; Flight test; Global constraints; Global state; Inertial measurement unit; Measurement model; Monocular cameras; Nonlinear uncertainties; Relative navigation; Fixed wings
Increasing Student Use of a Learner Dashboard,
Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,3D printers; Additives; Laser heating; Open source software; Open systems; Residual stresses; Sintering; Complex microstructures; Cross correlations; Dislocation structures; Dislocation substructures; Geometrically necessary dislocations; High resolution electron backscatter diffractions; Laser additive manufacturing; Residual strains; Strain
Improving running economy through altered shoe bending stiffness across speeds,
Self-Sustaining 3D Thin Liquid Films in Ambient Environments,Aspect ratio; Cytology; Geometry; Liquid films; Microfluidics; Thermodynamics; Water cooled reactors; Wetting; Ambient environment; Capillary effects; High resolution; Large aspect ratio; Light water cooled nuclear reactors; Microfluidic channel; Microfluidic geometry; Thin liquid film; 3D printers
Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,Barium compounds; Couplings; Degrees of freedom (mechanics); Barium borate; Spectral feature; Terahertz spectra; Vibrational couplings; Terahertz spectroscopy
Measured Polarization Components of Nonlinear Thomson Scattering,Light scattering; Polarization; Free electron; Laser focus; Nonlinear Thomson scattering; Polarization components; Red-shifted; Spatial patterns; Third harmonic; Light
"Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",Developing countries; Engineers; Product development; Developing product; Developing world; Engineered products; New product development; Probability tables; Product development process; Product reviews; SIMPLE method; Economic and social effects
Direct macro-to-micro interface method for microfluidics,Fluidic devices; Polymethyl methacrylates; Printed circuit boards; Substrates; Temperature; Device materials; Fluid interface; Glass substrates; Low temperature processing; Microfluidic channel; Microfluidic chip; Plastic tubing; Pressure tests; Microfluidics
Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,3D printers; Additives; Drying; Ink jet printing; Saturation (materials composition); Stainless steel; Additive manufacturing process; Droplet volume; Drying condition; Heating conditions; Postprocessing methods; Saturation levels; Saturation limits; Saturation parameters; Drops
DNA origami mediated electrically connected metal—semiconductor junctions,DNA; Electroless plating; Gold Nanorods; Metals; Nanoelectronics; Nanorods; Plasmons; Semiconducting tellurium; Bottom up approach; DNA nanostructures; Electrical characterization; Electroless gold plating; Inorganic nanostructures; Schottky junctions; Semiconductor interfaces; Voltage properties; Semiconductor junctions
Kcollections: A fast and efficient library for K-mers,Bioinformatics; C++ (programming language); Data structures; Software prototyping; De Bruijn graphs; False positive; Map-reduce; Parallel data structures; Parallel operations; Specific values; Digital storage
Spectral and Dynamic Consequences of Network Specialization,Dynamics; Learning algorithms; Topology; Global stability; Hierarchical topology; Network element; Real-world networks; Skewed degree distribution; Spectral properties; Topological evolution; Topological features; Recurrent neural networks
Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,Polynomial approximation; Biharmonic problem; Continuity constraints; Dual basis; Dual mortars; Fourth order problems; Higher-order polynomials; Optimal approximation; Polynomial splines; Mortar
SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,
Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,Angular distribution; Brickmaking; Heat flux; Heat radiation; Radiative transfer; Rotary kilns; Absorption and scatterings; Conductive heat transfer; Cylindrical enclosure; Discrete ordinates method; Particle distributions; Radiative heat fluxes; Radiative heat transfer; Radiative transfer equations; 3D modeling
Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,Four wave mixing; Free electron lasers; All optical; Extreme-ultraviolet free-electron lasers; Phase sensitive; Pulse train; Single-shot measurements; Spectrograms; Electrons
Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,Backscattering; Coarsening; Cryogenics; Deformation; Electron diffraction; Cryogenic loading; Cryogenic temperatures; Elastic and plastic deformation; Electron back scatter diffraction; Equal channel angular pressed; Micro compressions; Science applications; Stress-driven grain-growth; Grain growth
Biocompatible PEGDA Resin for 3D Printing,Biocompatibility; Cell adhesion; Cytotoxicity; Microfluidics; Plasma applications; Polyethylene glycols; Resins; Sulfur compounds; 3-D printing; Cell migration; Design approaches; High resolution; Microfluidic structures; Plasma treatment; Polyethylene glycol diacrylate; spheroid; 3D printers
Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,Friction stir welding; Machine design; Spot welding; Welds; Automotive aluminum; Design limitations; Friction stir spot welding; Joining process; Long cycle time; Process parameters; Rotational velocity; Welding process; Aluminum alloys
A Method for Creating Product Social Impact Models of Engineered Products,Ecodesign; Engineers; Forecasting; Isomers; Product design; Sustainable development; Design for X; Engineered products; Engineering community; Engineering parameters; Performance measure; Product development process; Product requirements; U.S.-Mexico border; Economic and social effects
Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,Computer graphics; Deep learning; Degrees of freedom (mechanics); Graphics processing unit; Nonlinear systems; Predictive control systems; Program processors; Real time control; Robot programming; Robotics; Robots; Control architectures and programming; High degree of freedom systems; Model learning; Nonlinear model predictive control; Optimal solutions; Optimization and optimal control; Optimization method; Robotics applications; Model predictive control
Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,Fault detection; Field programmable gate arrays (FPGA); Integrated circuit design; Network components; Circuit components; Fault detection techniques; Fault Injection techniques; Multiple clock domains; Networking systems; Neutron radiations; Partial duplications; Radiation-induced; Neutron irradiation
3D hydrodynamic focusing in microscale optofluidic channels formed with a single sacrificial layer,Etching; Flow velocity; Fluorescence; Focusing; Hydrodynamics; Optical waveguides; Surface micromachining; Detection sensitivity; Fluorescent signals; Hydrodynamic focusing; Optofluidic devices; Pressure-driven flows; Sensitivity and specificity; Threedimensional (3-d); Volumetric flow ratio; Flow of fluids
"Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",Curricula; Course development; Electromagnetics; EM theory; Engineering instructions; ITS applications; Teaching and learning; Teaching
Turbulence modulation in particle-laden stationary homogeneous isotropic turbulence using one-dimensional turbulence,Energy dissipation; Kinetic energy; Kinetics; Modulation; Navier Stokes equations; Stochastic models; Stochastic systems; Turbulent flow; Energy dissipation rate; Homogeneous isotropic turbulence; Navier-Stokes turbulence; One dimensional turbulence; Particle Stokes number; Particle-induced turbulence; Physical interpretation; Statistical stationarity; Turbulence
Validated Lateral Seismic Force-Displacement Backbone Curves for High-Speed Rail Bridge Abutments,Railroad transportation; Seismology; Stiffness; Backbone curves; High speed rail; Large scale tests; Parametric curve; Tectonic faults; Three dimensional finite element model; Vertical differential movement; Vertical stiffness; Abutments (bridge)
High-Throughput Exploration of Lithium-Alloy Protection Layers for High-Performance Lithium-Metal Batteries,Binary alloys; Cobalt alloys; Crystal structure; Crystallinity; Deposition; Lithium batteries; Metals; Thin films; Tin alloys; combinatorial; High through-put characterization; Li metal; Protection layers; Sn alloys; Lithium alloys
Measuring height characteristics of sagebrush (Artemisia sp.) using imagery derived from small unmanned aerial systems (SUAS),
Oxidation efficiency of glucose using viologen mediators for glucose fuel cell applications with non-precious anodes,Anodes; Electrochemical cells; Fuel cells; Glucose; Molar ratio; Oxygen; Reaction rates; Electrochemical conditions; Electrochemical experiments; Electrochemical reaction rates; Fuel cell application; Glucose fuel cells; Glucose oxidation; Oxidation efficiency; Viologens; Electrochemical oxidation; anoxic conditions; electrochemical method; electrode; experimental study; fuel cell; glucose; oxic conditions; oxidation; reaction rate
A 0.2-V 10-bit 5-kHz SAR ADC with Dynamic Bulk Biasing and Ultra-Low-Supply-Voltage Comparator,Comparators (optical); Economic and social effects; Integrated circuits; Biasing circuit; Circuit functionality; Load capacitors; Low power application; Low supply voltages; Measurements of; Strength ratios; Subthreshold; Comparator circuits
Controlling martensite and pearlite formation with cooling rate and temperature control in rotary friction welding,Friction; Friction welding; Martensite; Martensitic transformations; Microstructure; Pearlite; Pearlitic transformations; Scanning electron microscopy; Temperature control; Welds; Cooling rates; Geometric properties; Interface temperatures; Microstructure control; Pearlitic microstructure; Rotary friction welding; Transformation; Weld microstructures; Cooling
Smart camera for quality inspection and grading of food products,
Optimization and implementation of synthetic basis feature descriptor on FPGA,
Nanoparticle orientation distribution analysis and design for polymeric piezoresistive sensors,Electron transport properties; Electron tunneling; Finite element method; Inverse problems; Matrix algebra; Nanocomposites; Nanoparticles; Percolation (solid state); Poisson distribution; Polymers; Quantum chemistry; Solvents; Conductive nanoparticles; Effective medium theories; Orientation distributions; Percolation behavior; Percolation theory; Piezo-resistive behavior; Piezo-resistive sensors; Random resistor networks; Wearable sensors
Optimization of laser sintering for demineralized bone/polycaprolactone composite powder for bone tissue scaffold,
A CPRBM-based method for large-deflection analysis of contact-aided compliant mechanisms considering beam-to-beam contacts,Compliant mechanisms; Deformation; Mechanisms; Potential energy functions; Rigid structures; Contact analysis; Contact-aided compliant mechanisms; Geometric constraint; Geometric information; Large deflection; Large deflection analysis; Pseudo-rigid body models; Static equilibrium configurations; Numerical methods
Non-catalytic ash effect on char reactivity,Ashes; Biomass; Fuels; Gasification; Particle size; Reaction rates; Char gasification; Char reactivity; Diffusion controlled; Kinetic reactions; Kinetic reactivity; Kinetically controlled; Non-catalytic; Theoretical modeling; Kinetics; ash; biomass; burning; catalysis; experimental study; reaction kinetics; reactive transport; theoretical study
Generalized regular k-point grid generation on the fly,Brute force search; Generalized grids; K points; K-point sampling; On the flies; Regular grids; Symmetry reduction; Uniform distribution; Density functional theory
Compact structure with high TX-RX isolation for frequency domain duplexing on printed circuit boards,Frequency division multiplexing; Frequency domain analysis; Low noise amplifiers; Microwave antennas; Notch filters; Printed circuit design; Receiving antennas; Slot antennas; Timing circuits; Defected ground plane; Electromagnetic isolation; Frequency division duplexed; Frequency division duplexing; Isolation performance; Small aircraft; Unmanned aerial systems; X bands; Printed circuit boards
"Closed-Loop, Axial Temperature Control of Etched Silicon Microcolumn for Tunable Thermal Gradient Gas Chromatography",Disturbance rejection; Gases; MEMS; Silicon; Temperature control; Thermal gradients; Conduction-cooling; Fabrication process; Gas chromatographic column; Heating and cooling rates; High-resolution separations; Microcolumns; Quadratic temperature; Temperature profiles; Gas chromatography
Grain boundary structure–property model inference using polycrystals: the overdetermined case,Bicrystals; Grain boundaries; Polycrystals; Computational constraints; Effective property; Grain boundary structure; Measurements of; Property data; Property measurement; Property models; Uncertainty quantifications; Structural properties
"Thermal transport due to buoyant flow past a vertical, heated superhydrophobic surface with uniform stream-wise slip",Boundary layer flow; Boundary layers; Buoyancy; Differential equations; Flow velocity; Hydrophobicity; Natural convection; Nusselt number; Polonium compounds; Prandtl number; Surface properties; Analytical investigations; Boundary layer thickness; Increased temperature; Slip length; Super-hydrophobic surfaces; System of differential equations; Temperature jump; Vertical wall; Sulfur compounds
The effects of doping alumina with silica in alumina-supported NiO catalysts for oxidative dehydrogenation of ethane,Alumina; Aluminum oxide; Calcination; Catalysis; Catalysts; Energy efficiency; Ethane; Ethylene; Nickel; Nickel oxide; Productivity; Silica; Alumina support; Alumina-supported; Calcination temperature; Energy-efficient process; NiO catalysts; Oxidative dehydrogenation of ethanes; Oxidative dehydrogenations; Reaction temperature; Dehydrogenation
Adaptive relay autotuning under static and non-static disturbances with application to friction stir welding,Feedback; Friction; Identification (control systems); Relay control systems; Religious buildings; Research laboratories; Restoration; Temperature control; Adaptive methods; Adaptive relay; Autotuning; Friction stir welding(FSW); Non-oscillations; Relay feedback test; Relay test; Friction stir welding; article; simulation; welding
Postprocessing the outputs of an interacting multiple-model Kalman filter using a Markovian trellis to estimate parameter values of aged Li-ion cells,Battery management systems; Digital communication systems; Functions; Ions; Kalman filters; Probability; Viterbi algorithm; BCJR algorithm; Digital communications; Interacting multiple model; Markovian process; Post processing; Postprocessing algorithms; Probability mass function; Transition probabilities; Lithium-ion batteries
Sparse Equalization in Aeronautical Telemetry Using Two Transmit Antennas,Antennas; Block codes; Compressed sensing; Functions; Mean square error; Signal to noise ratio; Space time codes; Space-time block coding (STBC); Telemetering equipment; Aeronautical telemetry; Channel conditions; Equalizer coefficients; Mean squared error; Multipaths; Nonconvex functions; Sparse channels; Transmit diversity; Equalizers
Full-scale 3D-modelling of the radiative heat transfer in rotary kilns with a present bed material,3D modeling; Atmospheric temperature; Brickmaking; Heat radiation; Heat transfer; Iron ores; Oil field equipment; Radiative transfer; Rotary kilns; Surface properties; Conductive heat transfer; Convective heat transfer; Discrete ordinates method; Particle concentrations; Radiation and convection; Radiative heat transfer; Radiative heat transfer equation; Radiative heat transfer modeling; Heat convection
The biotech living and the walking dead,Article; biomedicine; biotechnology; commercial phenomena; economic aspect; economic development; employment; government; human; licensing; patent; priority journal; United States; university; cohort analysis; economics; entrepreneurship; policy; Biotechnology; Cohort Studies; Employment; Entrepreneurship; Humans; Licensure; Policy; Universities
An investigation of geometrically necessary dislocations and back stress in large grained tantalum via EBSD and CPFEM,Grain boundaries; Tantalum; Back stress; cpfem; Crystal plasticity finite element methods (CP FEM); ebsd; Electron back scatter diffraction; Geometrically necessary dislocations; Individual components; Stress-strain response; Deformation
"Technological turbulence and greening of team creativity, product innovation, and human resource management: Implications for sustainability",Global warming; Public policy; Resource allocation; Surveys; Sustainable development; Turbulence; Environmental dynamics; Green human resource management bundles; Green products; Team creativity; Technological turbulences; Human resource management
Optimising the design of phased array feeds for survey speed,Reflection; Surveys; Aperture efficiency; Field of views; Figure of merits; Optimal spacing; Optimal system performance; Phased array feeds; Reflector geometry; Superdirectivity; Speed
Latanoprost uptake and release from commercial contact lenses,Contact lenses; Drug delivery; Hydrogels; Propanol; Silicones; Solubility; Swelling; Targeted drug delivery; Artificial tears; Conventional lens; Hansen solubility parameters; latanoprost; Poly hydroxy ethyl methacrylates; Silicone hydrogels; Solubility parameters; Solvent chemistries; Controlled drug delivery; alpha tocopherol; galyfilcon A; latanoprost; propanol; trichloroethylene; Article; drug release; drug uptake; priority journal; swelling
Nanoantibiotics containing membrane-active human cathelicidin LL-37 or synthetic ceragenins attached to the surface of magnetic nanoparticles as novel and innovative therapeutic tools: Current status and potential future applications,Antimicrobial agents; Biocompatibility; Medical applications; Medical nanotechnology; Metal nanoparticles; Metals; Nanomagnetics; Nanostructured materials; Nanotechnology; Peptides; Physicochemical properties; Antibacterial peptides; Biomedical applications; Cathelicidin; Ceragenins; Magnetic nano-particles; Membrane active compounds; Nanoantibiotics; Therapeutic potentials; Controlled drug delivery; antiinfective agent; antimicrobial cationic peptide; cathelicidin antimicrobial peptide LL 37; ceragenin; magnetic nanoparticle; nanomaterial; nanoparticle; unclassified drug; antibiofilm activity; antibiotic therapy; antifungal activity; antimicrobial activity; antineoplastic activity; bacterial strain; cancer therapy; drug delivery system; drug efficacy; drug formulation; drug potency; Escherichia coli; experimental therapy; fractional inhibitory concentration index; human; immunomodulation; immunotherapy; infection prevention; minimum inhibitory concentration; nanomedicine; nonhuman; pathogen clearance; pleiotropy; recurrent disease; regenerative medicine; Review; urinary tract infection
Analysis of distortion phase shift in a highly loaded fan stage,
Using Cyclic Quadrilaterals to Design Cylindrical Developable Mechanisms,Cyclic quadrilateral; Cylindrical surface; Four-bar mechanisms; Grashof; Mechanisms
Optical measurement of voids in situ during infusion of carbon reinforcements,Flow velocity; Graphite fibers; Optical data processing; Autoclave methods; Automated methods; Carbon reinforcements; Flow orientations; High performance composites; Liquid composite molding; Minimum velocities; Optical measurement; Image analysis
Simphony: An open-source photonic integrated circuit simulation framework,Circuit simulation; Computer aided software engineering; Computer programming; Open source software; Open systems; Photonic devices; Timing circuits; Transceivers; Deep knowledge; Free and open source softwares; Open sources; Photonic integrated circuits; Plug-ins; Photonic integration technology
"Designer Thinking, A Unique Combination of Cognitive Modes",Clothes; Human engineering; Product design; Textiles; Adaptive thinking; Cognitive modes; Creative thinking; Industrial designers; Most likely; Visual thinking; Industrial research
Rethinking Our Assumptions About Language Model Evaluation,Classification (of information); Computational linguistics; Intelligent computing; Sentiment analysis; Transfer learning; Based reasonings; Commonsense reasoning; Emotional classification; Empirical evaluations; Implicit knowledge; Internal representation; Linear operations; Threat detection; Embeddings
Nanofluidic peristaltic pumps made from silica thin films,Electrostatic actuators; Electrostatics; MEMS; Nanofluidics; Pumps; Silica; Capillary force; Electrostatic actuation; Nano channels; Nano scale; Peristaltic pump; Pumping rate; Silica thin films; Silicon substrates; Thin films
Modeling common cause failures in systems with triple modular redundancy and repair,Continuous time systems; Fault tolerant computer systems; Maintainability; Markov chains; Repair; Time-to-failure; Common cause failure; Continuous time Markov chain; Fundamental limitations; Markov chain models; Mitigation techniques; Reliability improvement; System reliability; Triple modular redundancy; Redundancy
Comparing model-based control methods for simultaneous stiffness and position control of inflatable soft robots,Agricultural robots; Controllers; Degrees of freedom (mechanics); End effectors; Model predictive control; Predictive control systems; Sliding mode control; Stiffness; McKibben actuators; Model predictive controllers; Model-based control methods; Multiple-degree-of-freedom; Simultaneous control; Sliding mode controller; Unstructured environments; Variable stiffness; Position control
Analysis and evaluation of partitioning techniques for multi-user CAD,3D modeling; Surveys; Analysis and evaluation; Decomposition technique; Design activity; Envelope method; Multi-user; Partitioning methods; Partitioning techniques; Sensitive datas; Computer aided design
"Automated sounding for concrete bridge deck inspection through a multi-channel, continuously moving platform",Bridge decks; Concrete bridges; Delamination; Signal processing; Acoustic energy; Acoustic response; Bandlimited; Impact-echo testing; Inspection time; Measurement instruments; Moving platform; Multi channel; Concretes
"Design and analysis of self-deployable, self-stiffening, and retractable arrays",
Unpacking the Mathematics of Modeling Origami Folding Transformations with Quaternions,Dual quaternion; Functional representation; Normal vector; Rigid motions; Single vertex
"Self-deployable, self-stiffening, and retractable origami-based arrays for spacecraft",Cables; Array architecture; Array systems; Large arrays; Large spaces; Self-deployable; Strain energy
Developing Decision Boundaries for Left-Turn Treatments,MATLAB; Regression analysis; Vehicles; Contour map; Decision boundary; Final decision; Left turns; Safety assessments; Signalized intersection; Traffic volumes; Intersections
