TitleID,Authors,Title,Source title,Proceeding,Volume,Paper Area,Type,Conference Type,Paper Type,Approval,Chair_or_Editor1,Chair_or_Editor2
11,"Larsen B., Hunt J., Hovanski Y.",Investigating steel tool life in the RFSSW process,"ASEE Annual Conference and Exposition, Conference Proceedings",,,Aerospace industry; Aluminum alloys; Aluminum coated steel; Automotive industry; Cleaning; Spot welding; Thermocouples; Tool steel; Welds; Effective tool; Friction stir spot welding; High temperature; Steel tools; Thin sheet; Tool materials; Tool surfaces; Weld temperature; Friction stir welding,Conference,Workshop,Full Paper,No,Chair 7,Chair 8
12,"Peterson C.K., Casbeer D.W., Manyam S.G., Rasmussen S.","Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",Proceedings of SPIE - The International Society for Optical Engineering,5,,"Agricultural robots; Numerical methods; Trees (mathematics); Coordinate ascent; Decentralized routing; Intelligence , surveillance , and reconnaissances; Limited communication; Monte-Carlo tree searches; Multiple autonomous vehicles; Myopic algorithm; Optimal solutions; Autonomous vehicles",Conference,Expert Group,Poster,Yes,Chair 5,Chair 6
13,"Hackney D.A., Goode T., Seng F., Schultz S., Pankow M., Peters K.",In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,"ASEE Annual Conference and Exposition, Conference Proceedings",,,Armor; Ballistics; Deformation; Energy dissipation; Failure (mechanical); High speed cameras; Backing materials; Ballistic fabric; Fabric deformations; Face deformations; Optical interrogation; Spectral profile; Strain behaviors; Strain response; Fiber Bragg gratings; Databases,Conference,Workshop,Full Paper,No,Chair 7,Chair 8
14,"Zou Z., Scott M.A., Miao D., Bischoff M., Oesterle B., Dornisch W.",An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,"ASEE Annual Conference and Exposition, Conference Proceedings",370,,Degrees of freedom (mechanics); Extraction; Functions; Linear systems; Quality control; Strain; Thin walled structures; Coarse meshes; Control meshes; Geometrically nonlinear; Interpolatory; Mixed approach; Orthogonality properties; Shear and membrane locking; Variational principles; Locks (fasteners),Conference,Workshop,Poster,Yes,Chair 7,Chair 8
15,"Rice M., Clark B., Flanary D., Jensen B., Nelson N., Norman K., Perrins E., Harrison W.K.",Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,Proceedings of the International Telemetering Conference,15,,Physical layer; Vehicle to infrastructure; Vehicles; Finite block length; Physical layer security; Reliable communication; Urban environments; Vehicle to infrastructure (V2I); Vehicle to vehicle network (V2V); Network security,Conference,Regular Conference,Demo Paper,Yes,Chair 9,Chair 10
16,"Hendricks L.J., Baxter J.S., Chou Y., Thomas M., Boekweg E., Guthrie W.S., Mazzeo B.A.",High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,"ASEE Annual Conference and Exposition, Conference Proceedings",39,,Bridge decks; Computer architecture; Concrete bridges; Concretes; Data handling; Acoustic excitation; Data processing architecture; Detection and repairs; Inspection methods; Internal cracking; Long-term maintenances; Orders of magnitude; Sounding techniques; Repair; Natural language processing,Conference,Workshop,Poster,Yes,Chair 7,Chair 8
17,Gardner J.W.,"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity","ASEE Annual Conference and Exposition, Conference Proceedings",29,,Databases,Conference,Workshop,Poster,Yes,Chair 7,Chair 8
18,"Mulford R.B., Salt S.D., Hyatt L.P., Meaker K.S., Dwivedi V.H., Jones M.R., Iverson B.D.","Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",IEEE Transactions on Nuclear Science,,178,Aluminum; Energy efficiency; Heat losses; Hinges; Meteorology; Radiative Cooling; Thermal conductivity; Expansion and contraction; Experimental demonstrations; Experimental prototype; Operating temperature; Radiative heat loss; Spacecraft components; Spacecraft radiators; Vacuum environment; Radiators; Machine learning,Journal,,Short Paper,Yes,Editor 3,Editor 4
19,"Chowdhury S., Zhuang H., Coleman S., Patala S., Bair J.",Quantum Materials for Energy-Efficient Computing,Proceedings of SPIE - The International Society for Optical Engineering,72,,Machine learning,Conference,Expert Group,Demo Paper,Yes,Chair 5,Chair 6
20,"Lu W., Cao Q., Xu B., Adidharma H., Gasem K., Argyle M., Zhang F., Zhang Y., Fan M.",A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,International Journal of Heat and Mass Transfer,,265,Activation energy; Carbon dioxide; Carbon dioxide process; Carbon footprint; Carbon monoxide; Catalysts; Coal; Global warming; Iron research; Methane; Oxalic acid; Reaction kinetics; Synthesis gas; Synthesis gas manufacture; Carbon and hydrogens; Carbon dioxide emissions; Carbon footprint reductions; Char gasification; Multifunctional agents; Process efficiency; Syngas production; Two-stage process; Coal combustion; Natural language processing,Journal,,Demo Paper,Yes,Editor 5,Editor 6
21,"Webb D., Song Y., Rozsa J., Gustafson E., Austin D.E., Hawkins A.R., Chiang S.-H.W.","Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",Proceedings of SPIE - The International Society for Optical Engineering,2020-August,,High pass filters; Particle detectors; Biquad filter; Design process; Front-end amplifier; Particle detection; Power efficiency; Pulse signal; State of the art; Transfer characteristics; Pulse shaping,Conference,Expert Group,Demo Paper,Yes,Chair 5,Chair 6
22,"Lam S.-H., Brewer E., Ng Y.-K.","Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",Optics InfoBase Conference Papers,100,,Data integration; Data Science; Information use; Paper; Publishing; Search engines; Websites; Academic journal; Empirical studies; High volumes; Latest development; Learning models; Research papers; Scientific journals; Scientific papers; Deep learning,Conference,Symposium,Poster,Yes,Chair 3,Chair 4
23,"Erickson H.C., Homer E.R.",Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,Geotechnical Special Publication,,185,Crystal lattices; Nickel; Boundary planes; Coincidence site lattices; Disorientation angle; Face-centered cubic; Grain-boundary energy; Low angle boundaries; Misorientations; Grain boundaries,Journal,,Short Paper,Yes,Editor 7,Editor 8
24,"Huang J.-S., Huang Y.-C., Kao C.-W., Hsu C.-W., Chiang S.-H.W., Chen C.-H.",A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),Proceedings of SPIE - The International Society for Optical Engineering,2020-August,,Bandwidth; Signal to noise ratio; Analog to digital converters; Coarse quantization; Data converter; High resolution; Multi stage noise shaping; Over sampling ratio; Power efficient; Wide bandwidth; Analog to digital conversion,Conference,Expert Group,Full Paper,Yes,Chair 5,Chair 6
25,"Wallace J.W., Mahmood A., Jensen M.A., Mehmood R.",Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,IEEE Transactions on Nuclear Science,,56,Antennas; Degrees of freedom (mechanics); MIMO systems; Unmanned aerial vehicles (UAV); Ambiguity resolution; Attitude estimation; Cooperative navigations; Multiple-input multiple-output channels; Potential methods; Radio frequencies; Two degrees of freedom; Vector estimates; Air navigation,Journal,,Full Paper,Yes,Editor 3,Editor 4
26,"Koch D.P., Wheeler D.O., Beard R.W., McLain T.W., Brink K.M.",Relative multiplicative extended Kalman filter for observable GPS-denied navigation,Proceedings of SPIE - The International Society for Optical Engineering,39,,Agricultural robots; Global positioning system; Vehicles; Direct measurement; Global measurements; GPS-denied navigations; Inertial measurement unit; Laser scan matching; Multiplicative extended kalman filters; System robustness; Useful properties; Extended Kalman filters; Natural language processing,Conference,Expert Group,Short Paper,Yes,Chair 5,Chair 6
27,"Amini E., Babaei A., Mehrnia M.R., Shayegan J., Safdari M.-S.",Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,Proceedings of the ASME Design Engineering Technical Conference,36,,Databases,Conference,Regular Conference,Demo Paper,Yes,Chair 1,Chair 2
28,"Weaver B.P., Kaufeld K., Warr R.",Estimating correlations with censored data,Proceedings of SPIE - The International Society for Optical Engineering,32,,Safety engineering; Censored data; Censored observations; Keypoints; Quality control,Conference,Expert Group,Full Paper,Yes,Chair 5,Chair 6
29,"Pack A.T., Phipps E.R., Mattson C.A., Dahlin E.C.","Social impact in product design, an exploration of current industry practices_1","ASEE Annual Conference and Exposition, Conference Proceedings",142,,Ecodesign; Engineers; Laws and legislation; Life cycle; Product design; Academic research; Current practices; Design engineers; Engineering professionals; Government regulation; Industry practices; Social impact assessments; State of the art; Economic and social effects; Databases,Conference,Workshop,Poster,Yes,Chair 7,Chair 8
30,"White J.H., Beard R.W.",An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,Geotechnical Special Publication,,7,Aircraft detection; Clutter (information theory); Geometrical optics; Matrix algebra; Video recording; Embedded hardware; Epipolar geometry; Inertial measurement unit; Multi-target tracking; Pose estimation algorithm; Real time performance; Relative rotation; State-of-the-art algorithms; Iterative methods; Natural language processing,Journal,,Full Paper,Yes,Editor 7,Editor 8
31,"Clark R., Dickinson T., Loaiza J., Geiger D.W., Charles S.K.",Tracking joint angles during whole-arm movements using electromagnetic sensors,"ASEE Annual Conference and Exposition, Conference Proceedings",142,,Calibration; Clinical research; Degrees of freedom (mechanics); Joints (anatomy); Calibration method; Clinical application; Co-ordinate system; Electromagnetic sensors; Experimental methods; In-vivo measurement; International Society of Biomechanics; Motion tracking system; Motion tracking; anatomic landmark; arm movement; Article; body position; comparative study; elbow; electromagnetism; forearm; in vivo study; kinematics; methodology; rotation; shoulder; wrist,Conference,Workshop,Full Paper,Yes,Chair 7,Chair 8
32,"Rose M.T., Pielstick B.D., Jones Z.T., Sommerfeldt S.D., Gee K.L., Thomson S.L.",Case study: Noise reduction of a vacuum-assisted toilet,IEEE Transactions on Nuclear Science,,68,Acoustic noise measurement; Noise abatement; Control performance; Intermediate results; Noise levels; Noise range; Radiated noise; Radiated sound; Tube inserts; Valve opening; Acoustic variables control; Databases,Journal,,Short Paper,Yes,Editor 3,Editor 4
33,"Hyatt L.P., Magleby S.P., Howell L.L.",Developable mechanisms on right conical surfaces,Optics InfoBase Conference Papers,149,,Mechanical engineering; Mechanisms; Conical geometry; Conical surfaces; Multiloop; Position analysis; Spherical mechanisms; Spheres,Conference,Symposium,Short Paper,Yes,Chair 3,Chair 4
34,"Willis J., Johnson J., Beard R.W.",State-Dependent LQR Control for a Tilt-Rotor UAV,International Journal of Heat and Mass Transfer,,2020-July,Aerodynamics; Antennas; Controllers; Fixed wings; Flight simulators; Linear control systems; Unmanned aerial vehicles (UAV); Aerodynamic modeling; Angular rate; Control schemes; Flight modes; LQR controller; State-dependent; Trajectory tracking; Vertical take-off and landings; Aircraft control; Databases,Journal,,Full Paper,Yes,Editor 5,Editor 6
35,"Libano F., Wilson B., Wirthlin M., Rech P., Brunhaver J.","Understanding the Impact of Quantization, Accuracy, and Radiation on the Reliability of Convolutional Neural Networks on FPGAs","ASEE Annual Conference and Exposition, Conference Proceedings",67,,Aerospace applications; Convolution; Failure analysis; Field programmable gate arrays (FPGA); Integrated circuit design; Low power electronics; Military applications; Military vehicles; Multilayer neural networks; Network layers; Random errors; Static random access storage; Binary quantization; Configuration memory; Design flexibility; Low-power consumption; Misclassifications; Reliability impacts; Resource utilizations; Static random access memory; Convolutional neural networks,Conference,Workshop,Short Paper,Yes,Chair 7,Chair 8
36,"Švenda V.G., Stanković A.M., Sarić A.T., Transtrum M.K.",Flexible hybrid state estimation for power systems with communication irregularities,IEEE Transactions on Nuclear Science,,14,Computer software; Data acquisition; Drops; Observability; Packet loss; State estimation; Communication delays; Discrete Kalman filters; Hybrid state estimation; Network simulator 2; Packet-drop probability; Realistic communication; Supervisory control and data acquisition; System observability; Phasor measurement units; Machine learning,Journal,,Short Paper,Yes,Editor 3,Editor 4
37,Lawson J.,Comparison of conditional main effects analysis to the analysis of follow-up experiments for separating confounded two-factor interaction effects in 2 IVk−p fractional factorial experiments,Optics InfoBase Conference Papers,36,,Separation; Aliased; CME analysis; confounding; effect heredity; Effect sparsity; Hierarchical order; Factor analysis,Conference,Symposium,Short Paper,Yes,Chair 3,Chair 4
38,"Afran M.S., Saquib M., Rice M.",On the effects of channel sparsity on joint estimators in aeronautical telemetry,International Journal of Heat and Mass Transfer,,56,Bit error rate; Equalizers; Errors; Frequency allocation; Maximum likelihood; Mean square error; Telemetering equipment; Aeronautical telemetry; Carrier frequency offsets; Discrete-time channels; Filter coefficients; Frequency selectivity; Minimum mean squared error equalizers; Reliable estimates; Viable solutions; Parameter estimation; Machine learning,Journal,,Full Paper,Yes,Editor 5,Editor 6
39,"Ellingson G., Brink K., McLain T.",Relative navigation of fixed-wing aircraft in GPS-denied environments,IEEE Transactions on Antennas and Propagation,,67,Air navigation; Aircraft; Flight simulators; Global positioning system; Kalman filters; Flight test; Global constraints; Global state; Inertial measurement unit; Measurement model; Monocular cameras; Nonlinear uncertainties; Relative navigation; Fixed wings; Databases,Journal,,Full Paper,Yes,Editor 1,Editor 2
40,"Sansom R.L., Bodily R., Bates C.O., Leary H.",Increasing Student Use of a Learner Dashboard,Proceedings of SPIE - The International Society for Optical Engineering,29,,Databases,Conference,Expert Group,Short Paper,Yes,Chair 5,Chair 6
41,"Small K.A., Clayburn Z., DeMott R., Primig S., Fullwood D., Taheri M.L.",Interplay of dislocation substructure and elastic strain evolution in additively manufactured Inconel 625,Optics InfoBase Conference Papers,785,,3D printers; Additives; Laser heating; Open source software; Open systems; Residual stresses; Sintering; Complex microstructures; Cross correlations; Dislocation structures; Dislocation substructures; Geometrically necessary dislocations; High resolution electron backscatter diffractions; Laser additive manufacturing; Residual strains; Strain,Conference,Symposium,Poster,Yes,Chair 3,Chair 4
42,"McLeod A.R., Bruening D., Johnson A.W., Ward J., Hunter I.",Improving running economy through altered shoe bending stiffness across speeds,Proceedings of the ASME Design Engineering Technical Conference,12,,Databases,Conference,Regular Conference,Short Paper,Yes,Chair 1,Chair 2
43,"Camacho R.M., Fish D., Simmons M., Awerkamp P., Anderson R., Carlson S., Laney J., Viglione M., Nordin G.P.",Self-Sustaining 3D Thin Liquid Films in Ambient Environments,Proceedings of SPIE - The International Society for Optical Engineering,,,Aspect ratio; Cytology; Geometry; Liquid films; Microfluidics; Thermodynamics; Water cooled reactors; Wetting; Ambient environment; Capillary effects; High resolution; Large aspect ratio; Light water cooled nuclear reactors; Microfluidic channel; Microfluidic geometry; Thin liquid film; 3D printers; Machine learning,Conference,Expert Group,Full Paper,No,Chair 5,Chair 6
44,"Knighton B.E., Nielson M., Hardy R.T., Alejandro A., Rawlings L., Johnson J.A.",Picking Out Nonlinear Collective Couplings with Two-Dimensional Terahertz Spectroscopy,Proceedings of the ASME Design Engineering Technical Conference,2020-May,,Barium compounds; Couplings; Degrees of freedom (mechanics); Barium borate; Spectral feature; Terahertz spectra; Vibrational couplings; Terahertz spectroscopy; Databases,Conference,Regular Conference,Full Paper,Yes,Chair 1,Chair 2
45,"Peatross J., Atkinson N., Hodge D., Pratt B., Romero M., Schulzke C., Ware M.",Measured Polarization Components of Nonlinear Thomson Scattering,IEEE Transactions on Nuclear Science,,2020-May,Light scattering; Polarization; Free electron; Laser focus; Nonlinear Thomson scattering; Polarization components; Red-shifted; Spatial patterns; Third harmonic; Light; Databases,Journal,,Demo Paper,Yes,Editor 3,Editor 4
46,"Ottosson H.J., Mattson C.A., Dahlin E.C.","Analysis of perceived social impacts of existing products designed for the developing world, with implications for new product development",International Journal of Heat and Mass Transfer,,142,Developing countries; Engineers; Product development; Developing product; Developing world; Engineered products; New product development; Probability tables; Product development process; Product reviews; SIMPLE method; Economic and social effects,Journal,,Full Paper,Yes,Editor 5,Editor 6
47,"Hamilton E.S., Hawkins A.R.",Direct macro-to-micro interface method for microfluidics,Proceedings of the ASME Design Engineering Technical Conference,30,,Fluidic devices; Polymethyl methacrylates; Printed circuit boards; Substrates; Temperature; Device materials; Fluid interface; Glass substrates; Low temperature processing; Microfluidic channel; Microfluidic chip; Plastic tubing; Pressure tests; Microfluidics; Databases,Conference,Regular Conference,Poster,Yes,Chair 1,Chair 2
48,Crane N.B.,Impact of part thickness and drying conditions on saturation limits in binder jet additive manufacturing,Proceedings of the International Telemetering Conference,33,,3D printers; Additives; Drying; Ink jet printing; Saturation (materials composition); Stainless steel; Additive manufacturing process; Droplet volume; Drying condition; Heating conditions; Postprocessing methods; Saturation levels; Saturation limits; Saturation parameters; Drops,Conference,Regular Conference,Full Paper,Yes,Chair 9,Chair 10
49,"Aryal B.R., Ranasinghe D.R., Westover T.R., Calvopiña D.G., Davis R.C., Harb J.N., Woolley A.T.",DNA origami mediated electrically connected metal—semiconductor junctions,"ASEE Annual Conference and Exposition, Conference Proceedings",13,,DNA; Electroless plating; Gold Nanorods; Metals; Nanoelectronics; Nanorods; Plasmons; Semiconducting tellurium; Bottom up approach; DNA nanostructures; Electrical characterization; Electroless gold plating; Inorganic nanostructures; Schottky junctions; Semiconductor interfaces; Voltage properties; Semiconductor junctions; Databases,Conference,Workshop,Poster,Yes,Chair 7,Chair 8
50,"Fujimoto M.S., Lyman C.A., Clement M.J.",Kcollections: A fast and efficient library for K-mers,IEEE Transactions on Antennas and Propagation,,45,Bioinformatics; C++ (programming language); Data structures; Software prototyping; De Bruijn graphs; False positive; Map-reduce; Parallel data structures; Parallel operations; Specific values; Digital storage,Journal,,Demo Paper,Yes,Editor 1,Editor 2
51,"Bunimovich L., Passey D.J., Smith D., Webb B.",Spectral and Dynamic Consequences of Network Specialization,Optics InfoBase Conference Papers,30,,Dynamics; Learning algorithms; Topology; Global stability; Hierarchical topology; Network element; Real-world networks; Skewed degree distribution; Spectral properties; Topological evolution; Topological features; Recurrent neural networks; Databases,Conference,Symposium,Full Paper,Yes,Chair 3,Chair 4
52,"Miao D., Zou Z., Scott M.A., Borden M.J., Thomas D.C.",Isogeometric Bézier dual mortaring: The enriched Bézier dual basis with application to second- and fourth-order problems,Optics InfoBase Conference Papers,363,,Polynomial approximation; Biharmonic problem; Continuity constraints; Dual basis; Dual mortars; Fourth order problems; Higher-order polynomials; Optimal approximation; Polynomial splines; Mortar; Natural language processing,Conference,Symposium,Poster,Yes,Chair 3,Chair 4
53,"Yu M., Zhang D., Lee D.-J., Desai A.",SR-SYBA: A scale and rotation invariant synthetic basis feature descriptor with low memory usage,Geotechnical Special Publication,,9,Natural language processing,Journal,,Demo Paper,Yes,Editor 7,Editor 8
54,"Gunnarsson A., Andersson K., Adams B.R., Fredriksson C.",Discrete-ordinates modelling of the radiative heat transfer in a pilot-scale rotary kiln,Proceedings of SPIE - The International Society for Optical Engineering,13,,Angular distribution; Brickmaking; Heat flux; Heat radiation; Radiative transfer; Rotary kilns; Absorption and scatterings; Conductive heat transfer; Cylindrical enclosure; Discrete ordinates method; Particle distributions; Radiative heat fluxes; Radiative heat transfer; Radiative transfer equations; 3D modeling; Databases,Conference,Expert Group,Short Paper,Yes,Chair 5,Chair 6
55,"Peters W., Jones T., Efimov A., Pedersoli E., Foglia L., Mincigrucci R., Nikolov I., Trebino R., Sandberg R., Danailov M., Capotondi F., Bencivenga F., Bowlan P.",Single-Shot Measurement of Extreme Ultraviolet Free Electron Laser Pulses,IEEE Transactions on Antennas and Propagation,,2020-May,Four wave mixing; Free electron lasers; All optical; Extreme-ultraviolet free-electron lasers; Phase sensitive; Pulse train; Single-shot measurements; Spectrograms; Electrons,Journal,,Demo Paper,Yes,Editor 1,Editor 2
56,"Frazer D., Bair J.L., Homer E.R., Hosemann P.",Cryogenic Stress-Driven Grain Growth Observed via Microcompression with in situ Electron Backscatter Diffraction,Geotechnical Special Publication,,72,Backscattering; Coarsening; Cryogenics; Deformation; Electron diffraction; Cryogenic loading; Cryogenic temperatures; Elastic and plastic deformation; Electron back scatter diffraction; Equal channel angular pressed; Micro compressions; Science applications; Stress-driven grain-growth; Grain growth; Machine learning,Journal,,Short Paper,Yes,Editor 7,Editor 8
57,"Warr C., Valdoz J.C., Bickham B.P., Knight C.J., Franks N.A., Chartrand N., Van Ry P.M., Christensen K.A., Nordin G.P., Cook A.D.",Biocompatible PEGDA Resin for 3D Printing,"ASEE Annual Conference and Exposition, Conference Proceedings",3,,Biocompatibility; Cell adhesion; Cytotoxicity; Microfluidics; Plasma applications; Polyethylene glycols; Resins; Sulfur compounds; 3-D printing; Cell migration; Design approaches; High resolution; Microfluidic structures; Plasma treatment; Polyethylene glycol diacrylate; spheroid; 3D printers,Conference,Workshop,Demo Paper,Yes,Chair 7,Chair 8
58,"Larsen B., Hovanski Y.",Reducing Cycle Times of Refill Friction Stir Spot Welding in Automotive Aluminum Alloys,Proceedings of the ASME Design Engineering Technical Conference,,,Friction stir welding; Machine design; Spot welding; Welds; Automotive aluminum; Design limitations; Friction stir spot welding; Joining process; Long cycle time; Process parameters; Rotational velocity; Welding process; Aluminum alloys; Machine learning,Conference,Regular Conference,Full Paper,No,Chair 1,Chair 2
59,"Stevenson P.D., Mattson C.A., Dahlin E.C.",A Method for Creating Product Social Impact Models of Engineered Products,Geotechnical Special Publication,,142,Ecodesign; Engineers; Forecasting; Isomers; Product design; Sustainable development; Design for X; Engineered products; Engineering community; Engineering parameters; Performance measure; Product development process; Product requirements; U.S.-Mexico border; Economic and social effects; Databases,Journal,,Demo Paper,Yes,Editor 7,Editor 8
60,"Hyatt P., Killpack M.D.",Real-Time Nonlinear Model Predictive Control of Robots Using a Graphics Processing Unit,"ASEE Annual Conference and Exposition, Conference Proceedings",5,,Computer graphics; Deep learning; Degrees of freedom (mechanics); Graphics processing unit; Nonlinear systems; Predictive control systems; Program processors; Real time control; Robot programming; Robotics; Robots; Control architectures and programming; High degree of freedom systems; Model learning; Nonlinear model predictive control; Optimal solutions; Optimization and optimal control; Optimization method; Robotics applications; Model predictive control,Conference,Workshop,Poster,Yes,Chair 7,Chair 8
61,"Keller A., Anderson J., Wirthlin M., Wen S.-J., Fung R., Chambers C.",Using Partial Duplication with Compare to Detect Radiation-Induced Failure in a Commercial FPGA-Based Networking System,Proceedings of SPIE - The International Society for Optical Engineering,2020-April,,Fault detection; Field programmable gate arrays (FPGA); Integrated circuit design; Network components; Circuit components; Fault detection techniques; Fault Injection techniques; Multiple clock domains; Networking systems; Neutron radiations; Partial duplications; Radiation-induced; Neutron irradiation; Machine learning,Conference,Expert Group,Demo Paper,Yes,Chair 5,Chair 6
62,"Hamilton E.S., Ganjalizadeh V., Wright J.G., Schmidt H., Hawkins A.R.",3D hydrodynamic focusing in microscale optofluidic channels formed with a single sacrificial layer,"ASEE Annual Conference and Exposition, Conference Proceedings",,,Etching; Flow velocity; Fluorescence; Focusing; Hydrodynamics; Optical waveguides; Surface micromachining; Detection sensitivity; Fluorescent signals; Hydrodynamic focusing; Optofluidic devices; Pressure-driven flows; Sensitivity and specificity; Threedimensional (3-d); Volumetric flow ratio; Flow of fluids,Conference,Workshop,Demo Paper,No,Chair 7,Chair 8
63,"Warnick K.F., Selvan K.T.","Teaching and Learning Electromagnetics in 2020: Issues, trends, opportunities, and ideas for developing courses",Proceedings of the ASME Design Engineering Technical Conference,62,,Curricula; Course development; Electromagnetics; EM theory; Engineering instructions; ITS applications; Teaching and learning; Teaching; Machine learning,Conference,Regular Conference,Demo Paper,Yes,Chair 1,Chair 2
