Source title,Year,Type,Edition,Authors_list,TitleID,Title,Decision,Approval,Reviewer,Review_Text,Who_Assign
Proceedings of the ASME Design Engineering Technical Conference,2020,Conference,4.0,"['Bunnell S.', ' Gorrell S.', ' Salmon J.', ' Thelin C.', ' Ruoti C.']",3,Structural design space exploration using principal component analysis,1,Yes, Schmidt H.,Sound Work,Chair 1
Proceedings of the ASME Design Engineering Technical Conference,2020,Conference,4.0,"['Bunnell S.', ' Gorrell S.', ' Salmon J.', ' Thelin C.', ' Ruoti C.']",3,Structural design space exploration using principal component analysis,1,Yes, Howell L.L.,Great,Chair 2
IEEE Transactions on Antennas and Propagation,2020,Journal,,"['Richardson M.', ' Cannon S.', ' Teichert L.', ' Vance A.', ' Kramer I.', ' Barter M.', ' King J.', ' Callahan C.']",4,Religion-focused dating apps: A Q methodology study on the uses of mutual,0,No, Magleby S.P.,Old Idea,Editor 1
IEEE Transactions on Antennas and Propagation,2020,Journal,,"['Richardson M.', ' Cannon S.', ' Teichert L.', ' Vance A.', ' Kramer I.', ' Barter M.', ' King J.', ' Callahan C.']",4,Religion-focused dating apps: A Q methodology study on the uses of mutual,1,No, Warnick K.F.,Sound Work,Editor 2
IEEE Transactions on Antennas and Propagation,2020,Journal,,"['Richardson M.', ' Cannon S.', ' Teichert L.', ' Vance A.', ' Kramer I.', ' Barter M.', ' King J.', ' Callahan C.']",4,Religion-focused dating apps: A Q methodology study on the uses of mutual,0,No, Hawkins A.R.,Need Improvement,Editor 2
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Stanković A.M.', ' Sarić A.A.', ' Sarić A.T.', ' Transtrum M.K.']",5,Interleaving physics- and data-driven models for power system transient dynamics,1,Yes, Seamons K.,Great,Chair 4
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Stanković A.M.', ' Sarić A.A.', ' Sarić A.T.', ' Transtrum M.K.']",5,Interleaving physics- and data-driven models for power system transient dynamics,1,Yes, Rice M.,Great,Chair 3
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Stanković A.M.', ' Sarić A.A.', ' Sarić A.T.', ' Transtrum M.K.']",5,Interleaving physics- and data-driven models for power system transient dynamics,0,Yes, Ning A.,Need Major Revision,Chair 3
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Hackney D.', ' Goode T.', ' Seng F.', ' Pankow M.', ' Schultz S.', ' Peters K.']",6,Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,1,Yes, Ning A.,Excellent,Chair 3
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Hackney D.', ' Goode T.', ' Seng F.', ' Pankow M.', ' Schultz S.', ' Peters K.']",6,Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,1,Yes, Salmon J.L.,Fantastic,Chair 3
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Hackney D.', ' Goode T.', ' Seng F.', ' Pankow M.', ' Schultz S.', ' Peters K.']",6,Survivability of integrated fiber Bragg grating sensors in ballistic protection fabrics for high velocity impact testing,1,Yes, Magleby S.P.,Sound Work,Chair 3
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Coburn J.', ' Salmon J.', ' Freeman I.']",7,The effects of transition style for collaborative view sharing in immersive Virtual Reality,1,No, Rice M.,Great,Chair 4
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Coburn J.', ' Salmon J.', ' Freeman I.']",7,The effects of transition style for collaborative view sharing in immersive Virtual Reality,0,No, Hawkins A.R.,Need Improvement,Chair 4
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Coburn J.', ' Salmon J.', ' Freeman I.']",7,The effects of transition style for collaborative view sharing in immersive Virtual Reality,0,No, Zappala D.,Need Improvement,Chair 4
IEEE Transactions on Nuclear Science,2020,Journal,,"['Švenda V.G.', ' Stanković A.M.', ' Sarić A.T.', ' Transtrum M.K.']",8,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,1,Yes, Zappala D.,Nice Findings,Editor 3
IEEE Transactions on Nuclear Science,2020,Journal,,"['Švenda V.G.', ' Stanković A.M.', ' Sarić A.T.', ' Transtrum M.K.']",8,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,0,Yes, Rice M.,Need Improvement,Editor 3
IEEE Transactions on Nuclear Science,2020,Journal,,"['Švenda V.G.', ' Stanković A.M.', ' Sarić A.T.', ' Transtrum M.K.']",8,Probabilistic extension of flexible hybrid state estimation for cyber-physical systems,1,Yes, Salmon J.L.,Great,Editor 3
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Walker Z.', ' Wells T.', ' Lay K.', ' Sampad M.J.N.', ' Schmidt H.', ' Hawkins A.']",9,Solid-state membranes formed on natural menisci,1,Yes, Warnick K.F.,Great,Chair 6
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Walker Z.', ' Wells T.', ' Lay K.', ' Sampad M.J.N.', ' Schmidt H.', ' Hawkins A.']",9,Solid-state membranes formed on natural menisci,1,Yes, Hawkins A.R.,Great,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Walker Z.', ' Wells T.', ' Lay K.', ' Sampad M.J.N.', ' Schmidt H.', ' Hawkins A.']",9,Solid-state membranes formed on natural menisci,1,Yes, Howell L.L.,Innovative Idea,Chair 5
IEEE Transactions on Nuclear Science,2020,Journal,,"['Wu F.', ' Zhou Z.', ' Temizel-Sekeryan S.', ' Ghamkhar R.', ' Hicks A.L.']",10,Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,1,Yes, Salmon J.L.,Sound Work,Editor 3
IEEE Transactions on Nuclear Science,2020,Journal,,"['Wu F.', ' Zhou Z.', ' Temizel-Sekeryan S.', ' Ghamkhar R.', ' Hicks A.L.']",10,Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,1,Yes, Hawkins A.R.,Nice Findings,Editor 4
IEEE Transactions on Nuclear Science,2020,Journal,,"['Wu F.', ' Zhou Z.', ' Temizel-Sekeryan S.', ' Ghamkhar R.', ' Hicks A.L.']",10,Assessing the environmental impact and payback of carbon nanotube supported CO2 capture technologies using LCA methodology,1,Yes, Fletcher T.H.,Nice Findings,Editor 3
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Larsen B.', ' Hunt J.', ' Hovanski Y.']",11,Investigating steel tool life in the RFSSW process,0,No, Rice M.,Need Improvement,Chair 8
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Larsen B.', ' Hunt J.', ' Hovanski Y.']",11,Investigating steel tool life in the RFSSW process,0,No, Magleby S.P.,Need Improvement,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Larsen B.', ' Hunt J.', ' Hovanski Y.']",11,Investigating steel tool life in the RFSSW process,0,No, Fletcher T.H.,Need Improvement,Chair 7
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Peterson C.K.', ' Casbeer D.W.', ' Manyam S.G.', ' Rasmussen S.']",12,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",1,Yes, Zappala D.,Sound Work,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Peterson C.K.', ' Casbeer D.W.', ' Manyam S.G.', ' Rasmussen S.']",12,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",1,Yes, Salmon J.L.,Fantastic,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Peterson C.K.', ' Casbeer D.W.', ' Manyam S.G.', ' Rasmussen S.']",12,"Persistent intelligence, surveillance, and reconnaissance using multiple autonomous vehicles with asynchronous route updates",1,Yes, Ning A.,Nice Findings,Chair 5
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Hackney D.A.', ' Goode T.', ' Seng F.', ' Schultz S.', ' Pankow M.', ' Peters K.']",13,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,1,No, Fletcher T.H.,Nice Findings,Chair 8
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Hackney D.A.', ' Goode T.', ' Seng F.', ' Schultz S.', ' Pankow M.', ' Peters K.']",13,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,0,No, Rice M.,Need Improvement,Chair 8
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Hackney D.A.', ' Goode T.', ' Seng F.', ' Schultz S.', ' Pankow M.', ' Peters K.']",13,In-situ strain measurement of ballistic fabrics during impact using fiber Bragg gratings,0,No, Magleby S.P.,Need Improvement,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Zou Z.', ' Scott M.A.', ' Miao D.', ' Bischoff M.', ' Oesterle B.', ' Dornisch W.']",14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,1,Yes, Magleby S.P.,Great,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Zou Z.', ' Scott M.A.', ' Miao D.', ' Bischoff M.', ' Oesterle B.', ' Dornisch W.']",14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,0,Yes, Rice M.,Need Improvement,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Zou Z.', ' Scott M.A.', ' Miao D.', ' Bischoff M.', ' Oesterle B.', ' Dornisch W.']",14,An isogeometric Reissner–Mindlin shell element based on Bézier dual basis functions: Overcoming locking and improved coarse mesh accuracy,1,Yes, Warnick K.F.,Fantastic,Chair 8
Proceedings of the International Telemetering Conference,2020,Conference,4.0,"['Rice M.', ' Clark B.', ' Flanary D.', ' Jensen B.', ' Nelson N.', ' Norman K.', ' Perrins E.', ' Harrison W.K.']",15,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,1,Yes, Zappala D.,Sound Work,Chair 9
Proceedings of the International Telemetering Conference,2020,Conference,4.0,"['Rice M.', ' Clark B.', ' Flanary D.', ' Jensen B.', ' Nelson N.', ' Norman K.', ' Perrins E.', ' Harrison W.K.']",15,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,1,Yes, Rice M.,Awesome,Chair 9
Proceedings of the International Telemetering Conference,2020,Conference,4.0,"['Rice M.', ' Clark B.', ' Flanary D.', ' Jensen B.', ' Nelson N.', ' Norman K.', ' Perrins E.', ' Harrison W.K.']",15,Physical-Layer Security for Vehicle-to-Everything Networks: Increasing Security while Maintaining Reliable Communications,1,Yes, Ning A.,Great,Chair 9
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Hendricks L.J.', ' Baxter J.S.', ' Chou Y.', ' Thomas M.', ' Boekweg E.', ' Guthrie W.S.', ' Mazzeo B.A.']",16,High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,1,Yes, Fletcher T.H.,Nice Findings,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Hendricks L.J.', ' Baxter J.S.', ' Chou Y.', ' Thomas M.', ' Boekweg E.', ' Guthrie W.S.', ' Mazzeo B.A.']",16,High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,1,Yes, Rice M.,Awesome,Chair 8
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Hendricks L.J.', ' Baxter J.S.', ' Chou Y.', ' Thomas M.', ' Boekweg E.', ' Guthrie W.S.', ' Mazzeo B.A.']",16,High-Speed Acoustic Impact-Echo Sounding of Concrete Bridge Decks,1,Yes, Magleby S.P.,Great,Chair 8
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,['Gardner J.W.'],17,"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",0,Yes, Howell L.L.,Need Major Revision,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,['Gardner J.W.'],17,"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",1,Yes, Salmon J.L.,Awesome,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,['Gardner J.W.'],17,"Managing Production Yields and Rework through Feedback on Speed, Quality, and Quantity",1,Yes, Ning A.,Great,Chair 7
IEEE Transactions on Nuclear Science,2020,Journal,,"['Mulford R.B.', ' Salt S.D.', ' Hyatt L.P.', ' Meaker K.S.', ' Dwivedi V.H.', ' Jones M.R.', ' Iverson B.D.']",18,"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",1,Yes, Rice M.,Awesome,Editor 3
IEEE Transactions on Nuclear Science,2020,Journal,,"['Mulford R.B.', ' Salt S.D.', ' Hyatt L.P.', ' Meaker K.S.', ' Dwivedi V.H.', ' Jones M.R.', ' Iverson B.D.']",18,"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",0,Yes, Magleby S.P.,Not Rigorous Experiment,Editor 3
IEEE Transactions on Nuclear Science,2020,Journal,,"['Mulford R.B.', ' Salt S.D.', ' Hyatt L.P.', ' Meaker K.S.', ' Dwivedi V.H.', ' Jones M.R.', ' Iverson B.D.']",18,"Experimental demonstration of heat loss and turn-down ratio for a multi-panel, actively deployed radiator",1,Yes, Salmon J.L.,Awesome,Editor 4
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Chowdhury S.', ' Zhuang H.', ' Coleman S.', ' Patala S.', ' Bair J.']",19,Quantum Materials for Energy-Efficient Computing,1,Yes, Magleby S.P.,Great,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Chowdhury S.', ' Zhuang H.', ' Coleman S.', ' Patala S.', ' Bair J.']",19,Quantum Materials for Energy-Efficient Computing,0,Yes, Hawkins A.R.,Not Rigorous Experiment,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Chowdhury S.', ' Zhuang H.', ' Coleman S.', ' Patala S.', ' Bair J.']",19,Quantum Materials for Energy-Efficient Computing,1,Yes, Rice M.,Great,Chair 5
International Journal of Heat and Mass Transfer,2020,Journal,,"['Lu W.', ' Cao Q.', ' Xu B.', ' Adidharma H.', ' Gasem K.', ' Argyle M.', ' Zhang F.', ' Zhang Y.', ' Fan M.']",20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,1,Yes, Fletcher T.H.,Great,Editor 5
International Journal of Heat and Mass Transfer,2020,Journal,,"['Lu W.', ' Cao Q.', ' Xu B.', ' Adidharma H.', ' Gasem K.', ' Argyle M.', ' Zhang F.', ' Zhang Y.', ' Fan M.']",20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,1,Yes, Hawkins A.R.,Fantastic,Editor 6
International Journal of Heat and Mass Transfer,2020,Journal,,"['Lu W.', ' Cao Q.', ' Xu B.', ' Adidharma H.', ' Gasem K.', ' Argyle M.', ' Zhang F.', ' Zhang Y.', ' Fan M.']",20,A new approach of reduction of carbon dioxide emission and optimal use of carbon and hydrogen content for the desired syngas production from coal,1,Yes, Howell L.L.,Sound Work,Editor 6
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Webb D.', ' Song Y.', ' Rozsa J.', ' Gustafson E.', ' Austin D.E.', ' Hawkins A.R.', ' Chiang S.-H.W.']",21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",0,Yes, Magleby S.P.,Need Improvement,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Webb D.', ' Song Y.', ' Rozsa J.', ' Gustafson E.', ' Austin D.E.', ' Hawkins A.R.', ' Chiang S.-H.W.']",21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",1,Yes, Zappala D.,Sound Work,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Webb D.', ' Song Y.', ' Rozsa J.', ' Gustafson E.', ' Austin D.E.', ' Hawkins A.R.', ' Chiang S.-H.W.']",21,"Low-Noise, Low-Power Pulse Shaper for Particle Detection (Invited Paper)",1,Yes, Rice M.,Great,Chair 5
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Lam S.-H.', ' Brewer E.', ' Ng Y.-K.']",22,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",1,Yes, Ning A.,Great,Chair 4
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Lam S.-H.', ' Brewer E.', ' Ng Y.-K.']",22,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",1,Yes, Hawkins A.R.,Innovative Idea,Chair 3
Optics InfoBase Conference Papers,2020,Conference,4.0,"['Lam S.-H.', ' Brewer E.', ' Ng Y.-K.']",22,"Using a Deep Learning Model, Content Features, and Author Metadata to Recommend Research Papers",1,Yes, Schmidt H.,Innovative Idea,Chair 4
Geotechnical Special Publication,2020,Journal,,"['Erickson H.C.', ' Homer E.R.']",23,Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,1,Yes, Seamons K.,Excellent,Editor 7
Geotechnical Special Publication,2020,Journal,,"['Erickson H.C.', ' Homer E.R.']",23,Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,1,Yes, Fletcher T.H.,Excellent,Editor 7
Geotechnical Special Publication,2020,Journal,,"['Erickson H.C.', ' Homer E.R.']",23,Insights into grain boundary energy structure-property relationships by examining computed [1 0 0] disorientation axis grain boundaries in Nickel,1,Yes, Zappala D.,Great,Editor 8
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Huang J.-S.', ' Huang Y.-C.', ' Kao C.-W.', ' Hsu C.-W.', ' Chiang S.-H.W.', ' Chen C.-H.']",24,A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),1,Yes, Hawkins A.R.,Nice Findings,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Huang J.-S.', ' Huang Y.-C.', ' Kao C.-W.', ' Hsu C.-W.', ' Chiang S.-H.W.', ' Chen C.-H.']",24,A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),1,Yes, Warnick K.F.,Sound Work,Chair 6
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Huang J.-S.', ' Huang Y.-C.', ' Kao C.-W.', ' Hsu C.-W.', ' Chiang S.-H.W.', ' Chen C.-H.']",24,A Two-Step Multi-Stage Noise-Shaping Incremental Analog-to-Digital Converter (Invited Paper),1,Yes, Schmidt H.,Awesome,Chair 5
IEEE Transactions on Nuclear Science,2020,Journal,,"['Wallace J.W.', ' Mahmood A.', ' Jensen M.A.', ' Mehmood R.']",25,Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,1,Yes, Ning A.,Innovative Idea,Editor 3
IEEE Transactions on Nuclear Science,2020,Journal,,"['Wallace J.W.', ' Mahmood A.', ' Jensen M.A.', ' Mehmood R.']",25,Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,1,Yes, Hawkins A.R.,Innovative Idea,Editor 3
IEEE Transactions on Nuclear Science,2020,Journal,,"['Wallace J.W.', ' Mahmood A.', ' Jensen M.A.', ' Mehmood R.']",25,Cooperative Relative UAV Attitude Estimation Using DoA and RF Polarization,0,Yes, Magleby S.P.,Need Improvement,Editor 3
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Koch D.P.', ' Wheeler D.O.', ' Beard R.W.', ' McLain T.W.', ' Brink K.M.']",26,Relative multiplicative extended Kalman filter for observable GPS-denied navigation,1,Yes, Schmidt H.,Sound Work,Chair 6
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Koch D.P.', ' Wheeler D.O.', ' Beard R.W.', ' McLain T.W.', ' Brink K.M.']",26,Relative multiplicative extended Kalman filter for observable GPS-denied navigation,0,Yes, Magleby S.P.,Need Improvement,Chair 6
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Koch D.P.', ' Wheeler D.O.', ' Beard R.W.', ' McLain T.W.', ' Brink K.M.']",26,Relative multiplicative extended Kalman filter for observable GPS-denied navigation,1,Yes, Salmon J.L.,Innovative Idea,Chair 6
Proceedings of the ASME Design Engineering Technical Conference,2020,Conference,4.0,"['Amini E.', ' Babaei A.', ' Mehrnia M.R.', ' Shayegan J.', ' Safdari M.-S.']",27,Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,0,Yes, Seamons K.,Need Improvement,Chair 2
Proceedings of the ASME Design Engineering Technical Conference,2020,Conference,4.0,"['Amini E.', ' Babaei A.', ' Mehrnia M.R.', ' Shayegan J.', ' Safdari M.-S.']",27,Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,1,Yes, Schmidt H.,Nice Findings,Chair 1
Proceedings of the ASME Design Engineering Technical Conference,2020,Conference,4.0,"['Amini E.', ' Babaei A.', ' Mehrnia M.R.', ' Shayegan J.', ' Safdari M.-S.']",27,Municipal wastewater treatment by semi-continuous and membrane algal-bacterial photo-bioreactors,1,Yes, Hawkins A.R.,Innovative Idea,Chair 1
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Weaver B.P.', ' Kaufeld K.', ' Warr R.']",28,Estimating correlations with censored data,1,Yes, Fletcher T.H.,Nice Findings,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Weaver B.P.', ' Kaufeld K.', ' Warr R.']",28,Estimating correlations with censored data,0,Yes, Warnick K.F.,Need Improvement,Chair 5
Proceedings of SPIE - The International Society for Optical Engineering,2020,Conference,4.0,"['Weaver B.P.', ' Kaufeld K.', ' Warr R.']",28,Estimating correlations with censored data,1,Yes, Ning A.,Excellent,Chair 5
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Pack A.T.', ' Phipps E.R.', ' Mattson C.A.', ' Dahlin E.C.']",29,"Social impact in product design, an exploration of current industry practices",1,Yes, Schmidt H.,Sound Work,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Pack A.T.', ' Phipps E.R.', ' Mattson C.A.', ' Dahlin E.C.']",29,"Social impact in product design, an exploration of current industry practices",1,Yes, Fletcher T.H.,Great,Chair 8
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Pack A.T.', ' Phipps E.R.', ' Mattson C.A.', ' Dahlin E.C.']",29,"Social impact in product design, an exploration of current industry practices",1,Yes, Warnick K.F.,Sound Work,Chair 7
Geotechnical Special Publication,2020,Journal,,"['White J.H.', ' Beard R.W.']",30,An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,1,Yes, Seamons K.,Great,Editor 7
Geotechnical Special Publication,2020,Journal,,"['White J.H.', ' Beard R.W.']",30,An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,0,Yes, Hawkins A.R.,Need Improvement,Editor 8
Geotechnical Special Publication,2020,Journal,,"['White J.H.', ' Beard R.W.']",30,An iterative pose estimation algorithm based on epipolar geometry with application to multi-target tracking,1,Yes, Fletcher T.H.,Fantastic,Editor 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Clark R.', ' Dickinson T.', ' Loaiza J.', ' Geiger D.W.', ' Charles S.K.']",31,Tracking joint angles during whole-arm movements using electromagnetic sensors,1,Yes, Rice M.,Great,Chair 7
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Clark R.', ' Dickinson T.', ' Loaiza J.', ' Geiger D.W.', ' Charles S.K.']",31,Tracking joint angles during whole-arm movements using electromagnetic sensors,1,Yes, Fletcher T.H.,Nice Findings,Chair 8
"ASEE Annual Conference and Exposition, Conference Proceedings",2020,Conference,4.0,"['Clark R.', ' Dickinson T.', ' Loaiza J.', ' Geiger D.W.', ' Charles S.K.']",31,Tracking joint angles during whole-arm movements using electromagnetic sensors,0,Yes, Ning A.,Old Idea,Chair 8
IEEE Transactions on Nuclear Science,2020,Journal,,"['Rose M.T.', ' Pielstick B.D.', ' Jones Z.T.', ' Sommerfeldt S.D.', ' Gee K.L.', ' Thomson S.L.']",32,Case study: Noise reduction of a vacuum-assisted toilet,1,Yes, Fletcher T.H.,Great,Editor 3
IEEE Transactions on Nuclear Science,2020,Journal,,"['Rose M.T.', ' Pielstick B.D.', ' Jones Z.T.', ' Sommerfeldt S.D.', ' Gee K.L.', ' Thomson S.L.']",32,Case study: Noise reduction of a vacuum-assisted toilet,0,Yes, Magleby S.P.,Need Improvement,Editor 4
IEEE Transactions on Nuclear Science,2020,Journal,,"['Rose M.T.', ' Pielstick B.D.', ' Jones Z.T.', ' Sommerfeldt S.D.', ' Gee K.L.', ' Thomson S.L.']",32,Case study: Noise reduction of a vacuum-assisted toilet,1,Yes, Warnick K.F.,Innovative Idea,Editor 4
