Author_Name,Affiliation
DeMott R.,"School of Materials Science and Engineering, UNSW Sydney, Sydney, NSW  2052, United States"
DeYoung J.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Dean D.L.,"Manufacturing Engineering and Technology, Brigham Young University, Provo, UT, United States"
Dearden J.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Defigueiredo B.P.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Deléglise-Lagardère M.,"Department of Polymers and Composites Technology & Mechanical Engineering, IMT Lille Douai, France"
Dennis E.L.,"Imaging Genetics Center, Keck School of Medicine of USC, Marina del Rey, CA, United States, Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, UCLA, Los Angeles, CA, United States"
Derricott J.,"Brigham Young University, Department of Chemical Engineering, United States"
Desai A.,"Cubiscan, Inc, Farmington, UT  84025, United States"
Desrochers C.,"Engineering Consultants Inc., Little Rock, AR  72201, United States"
Detournay E.,"University of Minnesota, United States"
Diao J.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Dickinson L.,"Brigham Young University, United States"
Dickinson T.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Dillon P.B.,"Project Engineer I, WPD and Associates Consulting Engineers. Inc., 335 Greenbrier Drive, Charlottesville, VA  22901, United States"
Ding S.,"Mechanical Engineering Department, Iowa State University, Ames, IA  50011, United States"
Dittemore G.,"Brigham Young University, United States"
Dittmann J.,"Institute of Aircraft Design, University of Stuttgart, Germany"
Dodson B.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Doering C.R.,"Center for Study of Complex Systems, Department of Mathematics and Department of Physics, University of Michigan, Ann Arbor, MI  48109, United States"
Doherty J.,"MRC Centre for Neuropsychiatric Genetics and Genomics, Division of Psychological Medicine and Clinical Neurosciences, Cardiff University, Cardiff, United Kingdom, Cardiff University Brain Research Imaging Centre (CUBRIC), Cardiff University, Cardiff, United Kingdom"
Domschke V.,"Department of Architecture and Urbanism, University Presbiteriana Mackenzie - UPM, São Paulo, Brazil"
Dong J.,"Department of Hepatobiliary Surgery, Beijing Tsinghua Changgung Hospital, Tsinghua University, Beijing, 102218, China"
Dornisch W.,"Lehrstuhl für Technische Mechanik, Technische Universität Kaiserslautern, Gottlieb-Daimler-Str., Kaiserslautern, 67663, Germany"
Downing J.M.,"Blue Ridge Research and Consulting, LLC, 29 N Market St, Suite 700, Asheville, NC  28801, United States"
Downing T.,"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT, United States"
Draper S.R.E.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Drennon A.M.,"Defense and Veterans Brain Injury Center, San Antonio, TX, United States"
Dromey C.,"Department of Communication Disorders, Brigham Young University, Provo, UT, United States"
Dryer Z.,"Department of Electrical and Computer Engineering, Brigham Young UniversityUT, United States"
Du K.,"Department of Chemistry, University of California at Berkeley, Berkeley, CA  94720, United States"
Du X.,"School of Information Science and Engineering, Lanzhou University, Lanzhou, China"
Du Y.,"Department of Biomedical Engineering, School of Medicine, Tsinghua University, Beijing, 100084, China, Collaborative Innovation Center for Diagnosis and Treatment of Infectious Diseases, Hangzhou, 310003, China"
Duffield M.O.,"Mechanical Engineering, Brigham Young University, Provo, UT  84606, United States"
Duffy C.,"Department of Chemical Engineering, Brigham Young University, 350 L CB, Provo, UT  84602, United States"
Duffy-Deno C.A.,"Department of Mechanical and Aerospace Engineering, University of California San Diego, La Jolla, CA, United States"
Durdle C.A.,"UC Davis MIND Institute and Department of Psychiatry and Behavioral SciencesCA, United States"
Durfee D.S.,"N245 ESC, Brigham Young University, Provo, UT  84602, United States"
Dutson J.,"Computer Science Department, Brigham Young University, United States"
Dwivedi V.H.,"NASA Goddard Space Flight Center, Greenbelt, MD  20771, United States"
Dye S.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Dykes K.,"National Renewable Energy Laboratory, Golden, CO  80401, United States, National Wind Technology Center, 18200 CO-128, Boulder, CO  80303, United States"
Eapen B.,"Polytrauma Rehabilitation Center, South Texas Veterans Health Care System, San Antonio, TX, United States"
Eargle D.,"University of Colorado, Boulder, United States"
Eaton A.,"Brigham Young University, United States"
Eaton A.N.,"Brigham Young University, 350 CB, Provo, UT  84602, United States"
Ebert J.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84606, United States"
Eckhardt B.,"Fachbereich Physik, Philipps-Universität Marburg, Marburg, D-35032, Germany"
Edward Gibson G.,"School of Sustainable Engineering and the Built Environment, Arizona State Univ., P.O. Box 873005, Tempe, AZ  85287-3005, United States"
Efimov A.,"Los Alamos National Lab, Los Alamos, NM  87544, United States"
Egbert S.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Egbert S.C.,"Brigham Young University, 209 ERL, Provo, UT  84602, United States"
Eggett D.,"Department of Statistics, Brigham Young University, United States"
Eggett D.L.,"Brigham Young University, Provo, UT  84602, United States"
Eicholtz M.,"Oak Ridge National Lab., United States"
Eixenberger J.G.,"WDP and Associates, 10621 Gateway Blvd., Suite 200, Manassas, VA  20110, United States"
Ekstrom L.T.,"SandME Inc., 620 Wando Park Blvd, Mt. Pleasant, SC  29464, United States"
El Asmar M.,"School of Sustainable Engineering and the Built Environment, Arizona State Univ., P.O. Box 873005, Tempe, AZ  85287-3005, United States"
El-Essawi M.,"Ford Motor Company, United States"
Ellingson G.,"Brigham Young University, Provo, UT  84602, United States"
Ellingson J.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT, United States"
Elmqvist N.,"University of Maryland, College Park, MD, United States"
Elston E.,"Fuzes Branch, Munitions Directorate, Air Force Research Laboratory, Eglin AFB, FL, United States"
Emanuel B.,"Division of Human Genetics, Children's Hospital of Philadelphia, Perelman School of Medicine, University of Pennsylvania, Philadelphia, PA, United States"
Embley J.S.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Emelifeonwu J.,"Curtin University, Faculty of Business, CDT 250, Miri, Sarawak  98009, Malaysia"
Emerson P.,"Department of Mechanical Engineering, Brigham Young University, 435 Crabtree Building, Provo, UT  84602, United States"
Ende J.J.,"Department of Earth and Planetary Sciences, University of Tennessee Knoxville, United States"
Endruweit A.,"Faculty of Engineering, University of Nottingham, United Kingdom"
Enos D.G.,"Sandia National Laboratories, Albuquerque, NM, United States"
Erickson H.C.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Erickson S.D.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Ermanni P.,"Laboratory of Composite Materials and Adaptive Structures, ETH Zurich, Switzerland"
Ernst D.,"2420 Briarwood Lane, Eustis, FL  32726, United States"
Error B.M.,"AECOM, 756 East Winchester St., Salt Lake City, UT  84107, United States"
Evans S.,"Dept. of Plant and Wildlife Sciences, Brigham Young Univ., Provo, UT  84602, United States"
Evans W.,"Sandia National Laboratories, Albuquerque, NM  87123, United States"
Eves K.,"Brigham Young University, United States"
Exter M.,"Purdue University, College of Engineering, West Lafayette, United States"
Fagergren F.,"Brigham Young University, United States"
Fan J.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Fan M.,"Departments of Petroleum and Chemical Engineering, University of Wyoming, Laramie, WY  82071, United States, School of Energy Resources, University of Wyoming, Laramie, WY  82071, United States"
Fang S.,"School of Transportation Engineering, Tongji University, Shanghai, 201804, China, Road and Traffic Key Laboratory, Ministry of Education, Shanghai, 201804, China"
Fanning D.T.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Farnham T.L.,"University of Maryland, Department of Astronomy, College Park, MD, United States"
Farnsworth C.,"Construction and Facilities Management Program, Brigham Young Univ., Provo, UT  84602, United States"
Farnsworth C.B.,"Brigham Young University, United States"
Farnsworth M.S.,"Brigham Young University, Department of Mechanical Engineering, Provo, UT  84602, United States"
Farr T.,"NASA Jet Propulsion Laboratory, Pasadena, CA  91109, United States"
Farrell M.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Fauster E.,"Processing of Composites Group, Montanuniversität Leoben, Austria"
Feeman S.M.,"Brigham Young University, United States"
Ferguson S.M.,"Department of Mechanical and Aerospace Engineering, North Carolina State University, Raleigh, NC  27695, United States"
Fernandes T.,"Department of Electrical and Computer Engineering, University of Coimbra, Instituto de Telecomunicações, Coimbra, 3030-290, Portugal, Synopsys Inc., Maia, 4470-605, Portugal"
Fernandez D.,"Department of Geology and Geophysics, University of Utah, Frederick Albert Sutton Building, 115 S, 1460 E #383, Salt Lake City, UT  84112, United States"
Fernelius M.H.,"Mechanical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Fernquest S.,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences, University of Oxford, United Kingdom"
Fiedoruk K.,"Department of Medical Microbiology and Nanobiomedical Engineering, Medical University of Białystok, Mickiewicza 2c, Białystok, 15-222, Poland"
Field D.P.,"School of Mechanical and Materials Engineering, Washington State University, Pullman, WA  99163, United States"
Findlater L.,"University of Maryland, College Park, MD, United States"
Fish D.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84604, United States"
Fistler M.,"Chalmers University of Technology, Gothenburg, 41296, Sweden"
Flanary D.,"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Fleming P.,"National Renewable Energy Laboratory, National Wind Technology Center, 15013 Denver West Pkwy, Golden, CO  80401, United States"
Fletcher M.,"Dept. of Clinical Immunology, EM Paper Laboratory of Clinical Immunology, Inst. for Neuroimmune Medicine, Nova Southeastern University, Fort Lauderdale, FL, United States"
Fletcher M.E.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Fletcher T.,"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Fletcher T.H.,"Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Foglia L.,"Elettra-Sincrotrone Trieste S.C.pA., S.S. 14km 163 5 in Area Science Park Basovizza, Trieste, 34149, Italy"
Folkman S.,"Utah State Univ. (USU), Buried Structures Laboratory, 3000 Old Main Hill, Logan, UT  84322, United States, American Water Works Association, Transportation Research Board Committee on Culverts and Hydraulic Structures, United States"
Fonseca F.,"Department of Civil and Environmental Engineering, Brigham Young University - BYU, Provo, United States"
Fonseca F.S.,"Dept. of Civil and Environmental Engineering, Brigham Young Univ., 368 Clyde Bldg., Provo, UT  84602, United States"
Forcade R.W.,"Department of Mathematics, Brigham Young University, Provo, UT  84602, United States"
Ford H.,"Department of Chemical Engineering, Brigham Young University, Provo, UT, United States"
Forsgren B.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Forsyth J.K.,"Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, University of California at Los Angeles, Los Angeles, CA, United States, Department of Psychology, University of California at Los Angeles, Los Angeles, CA, United States"
Fortes E.S.,"Dept. of Civil Engineering, Federal Univ. of São Carlos, Rodovia Washington Luiz km 235, São Carlos, São Paulo, 13565-905, Brazil"
Fourment L.,"Centre de Mise en Forme des Materiaux, Mines ParisTech, Sophia-Antipolis, 06904, France"
Franca F.,"Department of Mechanical Engineering, Federal University of Rio Grande Do sul, Porto Alegre, RS, Brazil"
Francis B.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Francis B.L.,"Dept. of Physics and Astronomy, Brigham Young UniversityUT, United States"
Francom D.,"Los Alamos National Laboratory, Los Alamos, United States"
Francucci G.,"Institute of Research in Materials Science and Technology, Universidad Nacional de Mar del Plata, Argentina"
Frandsen D.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Frank I.W.,"Draper Laboratory, Cambridge, MA  02139, United States"
Franke K.,"Brigham Young Univ, United States"
Franke K.W.,"Dept. of Civil and Environmental Engineering, Brigham Young Univ., 368 Clyde Bldg., Provo, UT  84602, United States"
Franke T.K.,"Brigham Young University, Provo, UT, United States"
Frankman D.,"Sustainable Energy Solutions, United States"
Franks N.A.,"Chemistry and Biochemistry Department, Brigham Young University, Provo, Utah  84602, United States"
Frazer D.,"Nuclear Engineering Department, University of California-Berkeley, Berkeley, CA, United States, Material Science and Technology Division, Los Alamos National Laboratory, Los Alamos, NM, United States"
Frecker M.I.,"Department of Mechanical Engineering, Pennsylvania State University, University Park, PA  16802, United States"
Frediani M.E.B.,"Department of Civil and Environmental Engineering, University of Connecticut, Storrs, CT, United States, National Center for Atmospheric Research (NCAR), Boulder, CO, United States"
Fredrickson A.,"AECOM, 756 E Winchester St. #400, Salt Lake City, UT  84107, United States"
Fredriksson C.,"LKAB, Box 952, Luleå, SE-971 27, Sweden"
Freedman D.,"Department of Population and Quantitative Health Sciences, Case Western Reserve University, Cleveland, OH  44106, United States"
Freeman C.J.,"Pacific Northwest National Lab, Richland, WA  99352, United States"
Freeman I.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Frei M.,"Department of Chemical Engineering, Brigham Young University, Provo, UT, United States"
Fremont W.,"Department of Psychiatry and Behavioral Sciences, State University of New York, Upstate Medical UniversityNY, United States"
Frezza S.T.,"Computer and Information Science Department, Gannon University, Erie, PA, United States"
Fronk C.A.,"Department of Chemical Engineering, Brigham Young University, 350 CB, Provo, UT  84602, United States"
Fronk T.,"Utah State University, United States"
Fronk Z.,"Department of Physiology and Developmental Biology, Brigham Young University, Provo, UT  84602, United States"
Frost C.,"Science and Technology Facility Council, Oxfordshire, OX11 0QX, United Kingdom"
Frustaci J.B.,"Kimley-Horn and Associates, Inc, 1920 Wekiva Way, Suite 200, West Palm Beach, FL  33411, United States"
Fry A.,"Departmentof Chemical Engineering, Brigham Young University, Provo, UT, United States"
Fry R.,"Brigham Young University, United States"
Fuentes D.S.,"Brigham Young University, United States"
Fujimoto M.S.,"Computer Science Department, Brigham Young University, Provo, UT, United States"
Fulda N.,"Brigham Young University, Provo, UT  84602, United States"
Fuller S.G.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Fullwood D.,"Mechanical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Fullwood D.T.,"Brigham Young University, Provo, UT  84602, United States"
Fung R.,"Cisco Systems Inc, San Jose, United States"
Gabriel Richardson J.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States, Code 551, NASA Goddard Space Flight Center, 8800 Greenbelt Rd., Greenbelt, MD  20771, United States"
Gagakuma E.,"Patent Law Works LLP, Salt Lake City, UT  84111, United States"
Galan A.M.,"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT, United States"
Gallacher J.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Gallacher J.R.,"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Gallagher H.L.,"Air Force Research Laboratory, Wright-Patterson AFB, 2610 Seventh St., Bldg. 441OH  45433, United States"
Gallant N.D.,"University of South Florida, Tampa, FL, United States"
Galligan C.,"General Electric Global Research (GE-GR), 1 Research Circle, Niskayuna, NY  12309, United States"
Galtier M.,"Univ Lyon, CNRS, INSA-Lyon, Université Claude Bernard Lyon 1, CETHIL UMR5008, Villeurbanne, F-69621, France"
Galvez de Leon P.,"Department of Civil & Environmental Engineering, Brigham Young University, Provo, UT, United States"
Gammer B.,"Botnar Research Centre, Nuffield Department of Orthopaedics, Rheumatology, and Musculoskeletal Sciences, University of Oxford, Oxford, United Kingdom"
Gamstedt E.K.,"Department of Engineering Sciences, Division of Applied Mechanics, Uppsala University, Sweden"
Gandikota R.,"MindMesh Inc., United States"
Ganguly R.,"Department of Power Engineering, Jadavpur University, Kolkata, 700098, India"
Ganjalizadeh V.,"Baskin School of Engineering, University of California, Santa Cruz, Santa Cruz, CA  95064, United States"
Gao H.,"Shanghai University, China"
Garcia E.,"Air Force Research Laboratory, Department of Mechanical Engineering, Wright–Patterson Air Force BaseOH  45433, United States"
Garcia S.E.,"Slabs Ciudad Autónoma de Buenos Aires, Argentina"
Gardiner C.,"Ball Aerospace and Technologies Corporation, Colorado Springs, CO, United States"
Gardner J.W.,"Department of Marketing & Global Supply Chain Management, Marriott School of Business, Brigham Young University, 663 TNRB, Provo, UT  84602, United States"
Gasem K.,"Department of Chemical & Petroleum Engineering, University of Wyoming, Laramie, WY  82071, United States"
Gaskin J.,"Brigham Young University, Provo, UT  84602, United States"
Gates N.S.,"Brigham Young University, Provo, UT  84602, United States"
Gatrell C.,"Brigham Young University, United States"
Gautam A.,"Computer Science Department, Brigham Young University, Provo, UT  84604, United States"
Gee K.L.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Geiger D.W.,"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
George A.,"School of Technology, Brigham Young University, 265 CTB, BYU, Provo, UT  84602, United States"
George A.R.,"Manufacturing Engineering Technology, Brigham Young University, United States"
George J.,"Department of Exercise Sciences, College of Life Sciences, Brigham Young University, Provo, UT, United States"
George M.W.,"Dept. of Civil and Environmental Engineering, Brigham Young Univ, 170 A Clyde Building, Provo, UT  84602, United States"
Ghamkhar R.,"Department of Civil and Environmental Engineering, University of Wisconsin-Madison, Madison, WI  53706, United States"
Ghorpade S.R.,"Department of Mathematics, Indian Institute of Technology Bombay, Powai, Mumbai, 400076, India"
Gibbons J.D.,"Hales Engineering, 1220 North 500 West, Lehi, UT  84043, United States"
Gibby W.,"Magnetic Research Inc., 3152 N University Ave #50, Provo, UT  84604, United States, University of California San Diego, 9500 Gilman Drive, La Jolla, CA  92093, United States"
Gibson G.E.,"School of Sustainable Engineering and the Built Environment, Prof. and Sunstate Department of Construction Management and Engineering, Arizona State Univ., P.O. Box 873005, Tempe, AZ  85287-3005, United States"
Giles N.F.,"Department of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Giraud-Carrier C.,"Department of Computer Science, Brigham Young University, Provo, UT  84602, United States"
Girod H.,"Department of Manufacturing Engineering, Brigham Young University, United States"
Glaab L.J.,"NASA Langley Research Center, Hampton, VA  23681, United States"
Glaab P.C.,"NASA Langley Research Center, Hampton, VA  23681, United States"
Gladstone R.,"Association for Mechanically Stabilized Earth, P.O. Bo. 9133, Reston, VA  20195-3033, United States"
Glew R.,"Department of Chemical Engineering, Brigham Young University, 350 L CB, Provo, UT  84602, United States"
Glorieux C.,"Department of Physics and Astronomy, KU Leuven, Celestijnenlaan 200D, Heverlee, B-3001, Belgium"
Glyn-Jones S.,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences, University of Oxford, United Kingdom"
Gneiting S.,"Electrical and Computer Engineering Department, 459 Clyde Building, Brigham Young University, Provo, UT  84602, United States"
Gneiting S.A.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Goates C.B.,"Department of Physics and Astronomy, Brigham Young University, N283 ESC, Provo, UT  84602, United States"
Godfrey P.C.,"Marriott School of Management, Brigham Young University, Provo, UT, United States"
Goeders J.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States"
Goettel C.,"School of Technology, Brigham Young University, United States"
Gomes M.,"Instituto de Telecomunicações, Department of Electrical and Computer Engineering, University of Coimbra, Portugal"
Gomes M.A.C.,"Instituto de Telecomunicacões, Department of Electrical and Computer Engineering, University of Coimbra, Portugal"
Gomez H.,"School of Mechanical Engineering, Purdue University, 585 Purdue Mall, West Lafayette, IN  47907, United States"
Goncalves J.,"Control Group, Department of Engineering, University of Cambridge, Cambridge, CB2 1PZ, United Kingdom, Luxembourg Centre for Systems Biomedicine, University of Luxembourg, Luxembourg, L-4365, Luxembourg"
Gong H.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Gonzalez-Juez E.D.,"Combustion Science & Engineering, Inc., Columbia, MD, United States"
Goode T.,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States"
Goodrich M.A.,"Brigham Young University, Provo, UT  84602, United States"
Goodrich-Hunsaker N.J.,"UC Davis MIND Institute and Department of Psychiatry and Behavioral SciencesCA, United States, Brigham Young UniversityUT, United States"
Goodson M.,"Brigham Young University, Provo, UT, United States"
Gorrell S.,"Department of Mechanical Engineering, Brigham Young University, Provo, Utah, 84602, United States"
Gorrell S.E.,"BYU Turbomachinery Research Laboratory, Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Gosch A.A.,"Verum TCS, LLC, Salt Lake City, UT, United States, Department of Plant and Wildlife Sciences, Brigham Young University, Provo, UT, United States"
Gossett E.,"Center for Materials Genomics, Duke University, Durham, NC  27708, United States, Department of Mechanical Engineering and Materials Science, Duke University, Durham, NC  27708, United States"
Gou Y.,"School of Mechano-Electronic Engineering, Xidian University, Xi’an, China, Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States"
Grames C.,"New Product Development, Intuitive Surgical Inc., Sunnyvale, CA  94086, United States"
Granelli F.,"University of Trento, Trento, 38123, Italy"
Graul R.J.,"Department of Health Science, Brigham Young University, Provo, UT, United States"
Greenburg M.J.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Greenwood J.,"Dept. of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States"
Greenwood J.R.,"Department of Mechanical Engineering, Brigham Young University, 350 EB, Provo, UT  84602, United States"
Gregg J.F.,"Acoustics Research Group, Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Griffin D.,"Department of Mechanical Engineering, University of South Florida, Tampa, FL  33612, United States, Pall Corporation, New Port Richey, FL  34654, United States"
Griffiths A.,"Department of Virology and Immunology, Texas Biomedical Research Institute, 7620 NW Loop 410, San Antonio, TX  78227, United States"
Griffitts J.,"Department of Microbiology and Molecular Biology, Brigham Young University, Provo, UT, United States"
Grimsman D.,"University of California at Santa Barbara, Santa Barbara, CA  93106, United States"
Grishaev V.,"Center for Design, Manufacturing and Materials, Skolkovo Institute of Science and Technology, Russian Federation"
Gross A.,"Roseman University of Health Sciences, College of Dental Medicine, South Jordan, UT  84095, United States"
Gruwell A.,"NSF Center for High-Performance Reconfigurable Computing (CHREC), Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Gubaev K.,"Skolkovo Institute of Science and Technology, Skolkovo Innovation Center, Nobel str. 3, Moscow, 143026, Russian Federation"
Gudbrandsen M.,"Sackler Institute for Translational Neurodevelopment, Department of Forensic and Neurodevelopmental Sciences, King's College London, Institute of Psychiatry, Psychology and Neuroscience, London, United Kingdom"
Guillou J.,"Utah State University, United States, ESIReims, France"
Guldiken R.,"Department of Mechanical Engineering, University of South Florida, Tampa, FL  33620, United States"
Gunnarsson A.,"Department of Space Earth and Environment, Division of Energy Technology, Chalmers University of Technology, Gothenburg, 41296, Sweden"
Gunter C.,"Manufacturing Engineering Technology, Brigham Young University, Provo, UT  84602, United States"
Gunther H.,"Electrical and Computer Engineering, Brigham Young University, 6756 Provo, Utah United States (e-mail: hygunth@gmail.com)"
Guo C.,"Key Laboratory for Precision & Non-traditional Machining Technology of Ministry of Education, Dalian University of Technology, Dalian, 116024, China, Department of Mechanical Engineering, Brigham Young UniversityUT  84602, United States"
Guo Z.,"School of Electrical and Computer Engineering, Nanfang College of Sun Yat-sen University, Guangzhou, 510970, China"
Gupta V.,"Imaging Genetics Center, Keck School of Medicine of USC, Marina del Rey, CA, United States"
Gur R.E.,"Department of Psychiatry, Perelman School of Medicine, University of Pennsylvania and Children's Hospital of Philadelphia, Philadelphia, PA, United States"
Gustafson E.,"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States"
Guthrie S.,"Brigham Young University, Provo, UT, United States"
Guthrie W.S.,"Department of Civil and Environmental Engineering, Brigham Young University, Provo, UT  84602, United States"
Haber J.M.,
Hackney D.,"Department of Mechanical and Aerospace Engineering, North Carolina State University, Raleigh, NC  27695, United States"
Hackney D.A.,"North Carolina State University, Department of Mechanical and Aerospace Engineering, Raleigh, NC  27695, United States"
Hadi Nazari S.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Haghighipour N.,"University of Hawaii-Manoa, Institute for Astronomy, Honolulu, HI, United States"
Hahn A.,"Washington State University, Pullman, WA  99163, United States"
Hajimirzaie S.M.,"Task Committee Secretary and Lead Engineer, Operational Hydraulics Unit, Hydrology and Hydraulics (HandH) Bureau, South Florida Water Management District, 3301 Gun Club Rd., West Palm Beach, FL  33406, United States"
Hales Swift S.,"Dept. of Physics and Astronomy, Brigham Young University, N283 ESC, Provo, UT  84602, United States"
Halverson D.M.,"Department of Mathematics, Brigham Young University, Provo, UT  84602, United States"
Hamada M.S.,"Los Alamos National Laboratory, Los Alamos, NM, United States"
Hamblin M.,"ECEn Department, Brigham Young University, 459 Clyde Building, Provo, UT  84602, United States"
Hamilton E.,"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT, United States"
Hamilton E.S.,"Brigham Young University, Electrical and Computer Engineering, 450 Engineering Building, Provo, UT  84602, United States"
Hamilton M.,"Brigham Young University, United States"
Hamilton P.K.,"Department of Physics and Astronomy, Brigham Young University, Provo, UT  84602, United States"
Hammon S.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Hammond A.,"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States"
Hammond A.M.,"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84604, United States"
Han H.N.,"Department of Materials Science & Engineering, RIAM, Seoul National University, Seoul, South Korea, Center for Iron & Steel Research, RIAM, Seoul National University, Seoul, South Korea"
Han J.,"Association for Mechanically Stabilized Earth, P.O. Bo. 9133, Reston, VA  20195-3033, United States"
Han K.-S.,"Automotive Parts Innovation Center, Ulsan Techno Park, Ulsan, South Korea"
Hancioglu M.,"Department of Mechanical Engineering, KOÇ University, Turkey"
Hanks K.N.,"Frontier-Kemper Constructors, Inc., 1695 Allen Rd., Evansville, IN  47710, United States"
Hansen B.,"Department of Chemical Engineering, Brigham Young University, 350 CB, Provo, UT  84602, United States"
Hansen K.R.,"Brigham Young University, Provo, UT  84602, United States"
Hansen L.,"Department of Psychiatry and Biobehavioral Sciences, Semel Institute for Neuroscience and Human Behavior, University of California at Los Angeles, Los Angeles, CA, United States"
Hansen L.T.,"Department of Mechanical Engineering, Brigham Young University, 350 Engineering Building, Provo, UT  84602, United States"
Hansen N.,"Dept. of Plant and Wildlife Sciences, Brigham Young Univ., Provo, UT  84602, United States"
Hansen N.C.,"Department of Plant and Wildlife Sciences, Brigham Young University, Provo, UT, United States"
Hanson R.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Hanson R.M.,"Department of Chemistry, St. Olaf College, Northfield, Minnesota  55057, United States"
Harb J.N.,"Departments of Chemical Engineering, Brigham Young University, Provo, UT  84602, United States"
Harden T.,"Engineering Technology and Design Division, Los Alamos National Laboratory, Los Alamos, NM, United States"
Hardersen P.S.,"MoreData Inc., La Cañada Flintridge, CA, United States"
Hardman M.A.,"National Snow and Ice Data Center, Cooperative Institute for Research in Environmental Sciences, University of Colorado Boulder, Boulder, CO  80303, United States"
Hardy R.T.,"Department of Chemistry and Biochemistry, Brigham Young University, Provo, UT  84602, United States"
Hargis B.H.,"US Army Corps of Engineers, Engineer Research and Development Center, Coastal and Hydraulics Lab, United States"
Harker B.M.,"Dept. of Physics and Astronomy, Brigham Young University, N283 ESC, Provo, UT  84602, United States"
Harmer R.,"Schlumberger, United States"
Harper C.,"Chemical Engineering Department, Brigham Young University, Provo, UT  84602, United States"
Harrington M.,"School of Engineering, University of California Santa Cruz, 1156 High Street, Santa Cruz, CA  95064, United States"
Harris A.W.,"Ohio State University, Center for Cosmology and Astro Particle Physics (CCAPP), Columbus, OH, United States"
